MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Latvia (LV),Generation - Solar  [MW] Intraday / Latvia (LV),Generation - Solar  [MW] Current / Latvia (LV),Generation - Wind Offshore  [MW] Day Ahead/ Latvia (LV),Generation - Wind Offshore  [MW] Intraday / Latvia (LV),Generation - Wind Offshore  [MW] Current / Latvia (LV),Generation - Wind Onshore  [MW] Day Ahead/ Latvia (LV),Generation - Wind Onshore  [MW] Intraday / Latvia (LV),Generation - Wind Onshore  [MW] Current / Latvia (LV)
07.01.2022 02:00 - 07.01.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,32,31,31
07.01.2022 03:00 - 07.01.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,32,30,30
07.01.2022 04:00 - 07.01.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,29,29,29
07.01.2022 05:00 - 07.01.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,27,25,25
07.01.2022 06:00 - 07.01.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,26,23,23
07.01.2022 07:00 - 07.01.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,25,18,18
07.01.2022 08:00 - 07.01.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,23,17,17
07.01.2022 09:00 - 07.01.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,19,13,13
07.01.2022 10:00 - 07.01.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,14,11,11
07.01.2022 11:00 - 07.01.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,10,10,10
07.01.2022 12:00 - 07.01.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,7,7,7
07.01.2022 13:00 - 07.01.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,7,7,7
07.01.2022 14:00 - 07.01.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,5,5,5
07.01.2022 15:00 - 07.01.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,7,7,7
07.01.2022 16:00 - 07.01.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,8,7,7
07.01.2022 17:00 - 07.01.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,8,8,8
07.01.2022 18:00 - 07.01.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,9,8,8
07.01.2022 19:00 - 07.01.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,9,9,9
07.01.2022 20:00 - 07.01.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,11,11,11
07.01.2022 21:00 - 07.01.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,12,12,12
07.01.2022 22:00 - 07.01.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,12,13,13
07.01.2022 23:00 - 08.01.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,12,8,8
08.01.2022 00:00 - 08.01.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,8,7,7
08.01.2022 01:00 - 08.01.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,8,9,9
08.01.2022 02:00 - 08.01.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,9,13,13
08.01.2022 03:00 - 08.01.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,11,12,12
08.01.2022 04:00 - 08.01.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,12,12,12
08.01.2022 05:00 - 08.01.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,12,13,13
08.01.2022 06:00 - 08.01.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,11,13,13
08.01.2022 07:00 - 08.01.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,11,15,15
08.01.2022 08:00 - 08.01.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,11,16,16
08.01.2022 09:00 - 08.01.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,11,16,16
08.01.2022 10:00 - 08.01.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,14,17,17
08.01.2022 11:00 - 08.01.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,15,17,17
08.01.2022 12:00 - 08.01.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,16,16,16
