MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Netherlands (NL),Generation - Solar  [MW] Intraday / Netherlands (NL),Generation - Solar  [MW] Current / Netherlands (NL),Generation - Wind Offshore  [MW] Day Ahead/ Netherlands (NL),Generation - Wind Offshore  [MW] Intraday / Netherlands (NL),Generation - Wind Offshore  [MW] Current / Netherlands (NL),Generation - Wind Onshore  [MW] Day Ahead/ Netherlands (NL),Generation - Wind Onshore  [MW] Intraday / Netherlands (NL),Generation - Wind Onshore  [MW] Current / Netherlands (NL)
02.01.2022 14:30 - 02.01.2022 14:45,1445,1445,n/e,1429,1429,1429,4484,4484,4484
02.01.2022 14:45 - 02.01.2022 15:00,1385,1385,n/e,1425,1425,1425,4460,4460,4460
02.01.2022 15:00 - 02.01.2022 15:15,1325,1325,n/e,1421,1421,1421,4434,4434,4434
02.01.2022 15:15 - 02.01.2022 15:30,1231,1231,n/e,1418,1418,1418,4374,4374,4374
02.01.2022 15:30 - 02.01.2022 15:45,1134,1134,n/e,1415,1415,1415,4276,4276,4276
02.01.2022 15:45 - 02.01.2022 16:00,1036,1036,n/e,1412,1412,1412,4178,4178,4178
02.01.2022 16:00 - 02.01.2022 16:15,939,939,n/e,1409,1409,1409,4081,4081,4081
02.01.2022 16:15 - 02.01.2022 16:30,724,724,n/e,1409,1409,1409,4012,4012,4012
02.01.2022 16:30 - 02.01.2022 16:45,509,509,n/e,1413,1413,1413,3969,3969,3969
02.01.2022 16:45 - 02.01.2022 17:00,292,292,n/e,1416,1416,1416,3927,3927,3927
02.01.2022 17:00 - 02.01.2022 17:15,78,78,n/e,1419,1419,1419,3886,3886,3886
02.01.2022 17:15 - 02.01.2022 17:30,57,57,n/e,1420,1420,1420,3845,3845,3845
02.01.2022 17:30 - 02.01.2022 17:45,39,39,n/e,1419,1419,1419,3804,3804,3804
02.01.2022 17:45 - 02.01.2022 18:00,18,18,n/e,1418,1418,1418,3762,3762,3762
02.01.2022 18:00 - 02.01.2022 18:15,0,0,n/e,1417,1417,1417,3721,3721,3721
02.01.2022 18:15 - 02.01.2022 18:30,0,0,n/e,1415,1415,1415,3671,3671,3671
02.01.2022 18:30 - 02.01.2022 18:45,0,0,n/e,1414,1414,1414,3617,3617,3617
02.01.2022 18:45 - 02.01.2022 19:00,0,0,n/e,1413,1413,1413,3559,3559,3559
02.01.2022 19:00 - 02.01.2022 19:15,0,0,n/e,1412,1412,1412,3502,3502,3502
02.01.2022 19:15 - 02.01.2022 19:30,0,0,n/e,1411,1411,1411,3465,3465,3465
02.01.2022 19:30 - 02.01.2022 19:45,0,0,n/e,1410,1410,1410,3442,3442,3442
02.01.2022 19:45 - 02.01.2022 20:00,0,0,n/e,1409,1409,1409,3420,3420,3420
02.01.2022 20:00 - 02.01.2022 20:15,0,0,n/e,1408,1408,1408,3399,3399,3399
02.01.2022 20:15 - 02.01.2022 20:30,0,0,n/e,1408,1408,1408,3393,3393,3393
02.01.2022 20:30 - 02.01.2022 20:45,0,0,n/e,1409,1409,1409,3401,3401,3401
02.01.2022 20:45 - 02.01.2022 21:00,0,0,n/e,1410,1410,1410,3412,3412,3412
02.01.2022 21:00 - 02.01.2022 21:15,0,0,n/e,1412,1412,1412,3418,3418,3418
02.01.2022 21:15 - 02.01.2022 21:30,0,0,n/e,1413,1413,1413,3414,3414,3414
02.01.2022 21:30 - 02.01.2022 21:45,0,0,n/e,1414,1414,1414,3399,3399,3399
02.01.2022 21:45 - 02.01.2022 22:00,0,0,n/e,1415,1415,1415,3385,3385,3385
02.01.2022 22:00 - 02.01.2022 22:15,0,0,n/e,1416,1416,1416,3367,3367,3367
02.01.2022 22:15 - 02.01.2022 22:30,0,0,n/e,1415,1415,1415,3425,3425,3425
02.01.2022 22:30 - 02.01.2022 22:45,0,0,n/e,1413,1413,1413,3555,3555,3555
02.01.2022 22:45 - 02.01.2022 23:00,0,0,n/e,1410,1410,1410,3687,3687,3687
02.01.2022 23:00 - 02.01.2022 23:15,0,0,n/e,1407,1407,1407,3815,3815,3815
02.01.2022 23:15 - 02.01.2022 23:30,0,0,n/e,1408,1408,1408,3906,3906,3906
02.01.2022 23:30 - 02.01.2022 23:45,0,0,n/e,1414,1414,1414,3946,3946,3946
02.01.2022 23:45 - 03.01.2022 00:00,0,0,n/e,1420,1420,1420,3989,3989,3989
03.01.2022 00:00 - 03.01.2022 00:15,0,0,n/e,1429,1429,1429,4398,4398,4398
03.01.2022 00:15 - 03.01.2022 00:30,0,0,n/e,1430,1430,1430,4395,4395,4395
03.01.2022 00:30 - 03.01.2022 00:45,0,0,n/e,1429,1429,1429,4362,4362,4362
03.01.2022 00:45 - 03.01.2022 01:00,0,0,n/e,1428,1428,1428,4332,4332,4332
03.01.2022 01:00 - 03.01.2022 01:15,0,0,n/e,1428,1428,1428,4301,4301,4301
03.01.2022 01:15 - 03.01.2022 01:30,0,0,n/e,1428,1428,1428,4295,4295,4295
03.01.2022 01:30 - 03.01.2022 01:45,0,0,n/e,1431,1431,1431,4316,4316,4316
03.01.2022 01:45 - 03.01.2022 02:00,0,0,n/e,1433,1433,1433,4335,4335,4335
03.01.2022 02:00 - 03.01.2022 02:15,0,0,n/e,1435,1435,1435,4356,4356,4356
03.01.2022 02:15 - 03.01.2022 02:30,0,0,n/e,1437,1437,1437,4365,4365,4365
03.01.2022 02:30 - 03.01.2022 02:45,0,0,n/e,1438,1438,1438,4370,4370,4370
03.01.2022 02:45 - 03.01.2022 03:00,0,0,n/e,1439,1439,1439,4369,4369,4369
03.01.2022 03:00 - 03.01.2022 03:15,0,0,n/e,1441,1441,1441,4371,4371,4371
03.01.2022 03:15 - 03.01.2022 03:30,0,0,n/e,1441,1441,1441,4365,4365,4365
03.01.2022 03:30 - 03.01.2022 03:45,0,0,n/e,1441,1441,1441,4350,4350,4350
03.01.2022 03:45 - 03.01.2022 04:00,0,0,n/e,1441,1441,1441,4335,4335,4335
03.01.2022 04:00 - 03.01.2022 04:15,0,0,n/e,1441,1441,1441,4320,4320,4320
03.01.2022 04:15 - 03.01.2022 04:30,0,0,n/e,1441,1441,1441,4311,4311,4311
03.01.2022 04:30 - 03.01.2022 04:45,0,0,n/e,1440,1440,1440,4308,4308,4308
03.01.2022 04:45 - 03.01.2022 05:00,0,0,n/e,1439,1439,1439,4303,4303,4303
03.01.2022 05:00 - 03.01.2022 05:15,0,0,n/e,1439,1439,1439,4299,4299,4299
03.01.2022 05:15 - 03.01.2022 05:30,0,0,n/e,1437,1437,1437,4273,4273,4273
03.01.2022 05:30 - 03.01.2022 05:45,0,0,n/e,1436,1436,1436,4225,4225,4225
03.01.2022 05:45 - 03.01.2022 06:00,0,0,n/e,1434,1434,1434,4175,4175,4175
03.01.2022 06:00 - 03.01.2022 06:15,0,0,n/e,1432,1432,1432,4125,4125,4125
03.01.2022 06:15 - 03.01.2022 06:30,0,0,n/e,1430,1430,1430,4081,4081,4081
03.01.2022 06:30 - 03.01.2022 06:45,0,0,n/e,1427,1427,1427,4044,4044,4044
03.01.2022 06:45 - 03.01.2022 07:00,0,0,n/e,1425,1425,1425,4006,4006,4006
03.01.2022 07:00 - 03.01.2022 07:15,0,0,n/e,1422,1422,1422,3969,3969,3969
03.01.2022 07:15 - 03.01.2022 07:30,0,0,n/e,1420,1420,1420,3943,3943,3943
03.01.2022 07:30 - 03.01.2022 07:45,0,0,n/e,1418,1418,1418,3929,3929,3929
03.01.2022 07:45 - 03.01.2022 08:00,0,0,n/e,1416,1416,1416,3912,3912,3912
03.01.2022 08:00 - 03.01.2022 08:15,0,0,n/e,1414,1414,1414,3896,3896,3896
03.01.2022 08:15 - 03.01.2022 08:30,0,0,n/e,1411,1411,1411,3876,3876,3876
03.01.2022 08:30 - 03.01.2022 08:45,0,0,n/e,1407,1407,1407,3853,3853,3853
03.01.2022 08:45 - 03.01.2022 09:00,0,0,n/e,1403,1403,1403,3828,3828,3828
03.01.2022 09:00 - 03.01.2022 09:15,2,2,n/e,1400,1400,1400,3805,3805,3805
03.01.2022 09:15 - 03.01.2022 09:30,120,120,n/e,1398,1398,1398,3785,3785,3785
03.01.2022 09:30 - 03.01.2022 09:45,241,241,n/e,1397,1397,1397,3767,3767,3767
03.01.2022 09:45 - 03.01.2022 10:00,361,361,n/e,1397,1397,1397,3750,3750,3750
03.01.2022 10:00 - 03.01.2022 10:15,481,481,n/e,1397,1397,1397,3732,3732,3732
03.01.2022 10:15 - 03.01.2022 10:30,742,742,n/e,1397,1397,1397,3737,3737,3737
03.01.2022 10:30 - 03.01.2022 10:45,1003,1003,n/e,1397,1397,1397,3765,3765,3765
03.01.2022 10:45 - 03.01.2022 11:00,1264,1264,n/e,1398,1398,1398,3797,3797,3797
03.01.2022 11:00 - 03.01.2022 11:15,1526,1526,n/e,1398,1398,1398,3827,3827,3827
03.01.2022 11:15 - 03.01.2022 11:30,1636,1636,n/e,1398,1398,1398,3857,3857,3857
03.01.2022 11:30 - 03.01.2022 11:45,1744,1744,n/e,1399,1399,1399,3888,3888,3888
03.01.2022 11:45 - 03.01.2022 12:00,1856,1856,n/e,1400,1400,1400,3917,3917,3917
03.01.2022 12:00 - 03.01.2022 12:15,1965,1965,n/e,1401,1401,1401,3947,3947,3947
03.01.2022 12:15 - 03.01.2022 12:30,2017,2017,n/e,1401,1401,1401,3982,3982,3982
03.01.2022 12:30 - 03.01.2022 12:45,2072,2072,n/e,1401,1401,1401,4023,4023,4023
03.01.2022 12:45 - 03.01.2022 13:00,2124,2124,n/e,1402,1402,1402,4060,4060,4060
