MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Czech Republic (CZ),Generation - Solar  [MW] Intraday / Czech Republic (CZ),Generation - Solar  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Offshore  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Offshore  [MW] Intraday / Czech Republic (CZ),Generation - Wind Offshore  [MW] Current / Czech Republic (CZ),Generation - Wind Onshore  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Onshore  [MW] Intraday / Czech Republic (CZ),Generation - Wind Onshore  [MW] Current / Czech Republic (CZ)
09.01.2022 04:00 - 09.01.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 05:00 - 09.01.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 06:00 - 09.01.2022 07:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 07:00 - 09.01.2022 08:00,1,1,1,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 08:00 - 09.01.2022 09:00,38,38,38,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 09:00 - 09.01.2022 10:00,128,128,128,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 10:00 - 09.01.2022 11:00,204,204,204,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 11:00 - 09.01.2022 12:00,207,207,207,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 12:00 - 09.01.2022 13:00,199,199,199,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 13:00 - 09.01.2022 14:00,128,128,128,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 14:00 - 09.01.2022 15:00,62,62,62,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 15:00 - 09.01.2022 16:00,26,26,26,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 16:00 - 09.01.2022 17:00,7,7,7,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 17:00 - 09.01.2022 18:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 18:00 - 09.01.2022 19:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 19:00 - 09.01.2022 20:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 20:00 - 09.01.2022 21:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 21:00 - 09.01.2022 22:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 22:00 - 09.01.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.01.2022 23:00 - 10.01.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.01.2022 00:00 - 10.01.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.01.2022 01:00 - 10.01.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.01.2022 02:00 - 10.01.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.01.2022 03:00 - 10.01.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.01.2022 04:00 - 10.01.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.01.2022 05:00 - 10.01.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.01.2022 06:00 - 10.01.2022 07:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.01.2022 07:00 - 10.01.2022 08:00,1,1,1,n/e,n/e,n/e,n/e,n/e,n/e
10.01.2022 08:00 - 10.01.2022 09:00,12,12,12,n/e,n/e,n/e,n/e,n/e,n/e
10.01.2022 09:00 - 10.01.2022 10:00,63,63,63,n/e,n/e,n/e,n/e,n/e,n/e
10.01.2022 10:00 - 10.01.2022 11:00,150,150,150,n/e,n/e,n/e,n/e,n/e,n/e
10.01.2022 11:00 - 10.01.2022 12:00,238,238,238,n/e,n/e,n/e,n/e,n/e,n/e
10.01.2022 12:00 - 10.01.2022 13:00,287,287,287,n/e,n/e,n/e,n/e,n/e,n/e
10.01.2022 13:00 - 10.01.2022 14:00,248,248,248,n/e,n/e,n/e,n/e,n/e,n/e
10.01.2022 14:00 - 10.01.2022 15:00,168,168,168,n/e,n/e,n/e,n/e,n/e,n/e
