MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Denmark (DK),Generation - Solar  [MW] Day Ahead/ Denmark (DK),Generation - Solar  [MW] Day Ahead/ Denmark (DK),Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK)
11.01.2022 19:00 - 11.01.2022 20:00,0,0,0,655,655,655,890,890,890
11.01.2022 20:00 - 11.01.2022 21:00,0,0,0,581,581,581,703,703,703
11.01.2022 21:00 - 11.01.2022 22:00,0,0,0,499,499,499,575,575,575
11.01.2022 22:00 - 11.01.2022 23:00,0,0,0,440,440,440,507,507,507
11.01.2022 23:00 - 12.01.2022 00:00,0,0,0,309,309,309,496,496,496
12.01.2022 00:00 - 12.01.2022 01:00,0,0,0,279,279,279,585,585,585
12.01.2022 01:00 - 12.01.2022 02:00,0,0,0,258,258,258,597,597,597
12.01.2022 02:00 - 12.01.2022 03:00,0,0,0,281,281,281,624,624,624
12.01.2022 03:00 - 12.01.2022 04:00,0,0,0,294,294,294,669,669,669
12.01.2022 04:00 - 12.01.2022 05:00,0,0,0,346,346,346,701,701,701
12.01.2022 05:00 - 12.01.2022 06:00,0,0,0,385,385,385,705,705,705
12.01.2022 06:00 - 12.01.2022 07:00,0,0,0,410,410,410,801,801,801
12.01.2022 07:00 - 12.01.2022 08:00,0,0,0,557,557,557,916,916,916
12.01.2022 08:00 - 12.01.2022 09:00,1,1,1,683,683,683,971,971,971
12.01.2022 09:00 - 12.01.2022 10:00,23,23,23,685,685,685,1043,1043,1043
12.01.2022 10:00 - 12.01.2022 11:00,73,73,73,743,743,743,1086,1086,1086
12.01.2022 11:00 - 12.01.2022 12:00,117,117,117,884,884,884,1219,1219,1219
