MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Offshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Offshore  [MW] Intraday / Bulgaria (BG),Generation - Wind Offshore  [MW] Current / Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG)
09.01.2022 10:00 - 09.01.2022 11:00,106,106,106,N/A,n/e,n/e,37,37,37
09.01.2022 11:00 - 09.01.2022 12:00,115,115,115,N/A,n/e,n/e,32,32,32
09.01.2022 12:00 - 09.01.2022 13:00,87,87,87,N/A,n/e,n/e,26,26,26
09.01.2022 13:00 - 09.01.2022 14:00,53,53,53,N/A,n/e,n/e,21,21,21
09.01.2022 14:00 - 09.01.2022 15:00,23,23,23,N/A,n/e,n/e,18,18,18
09.01.2022 15:00 - 09.01.2022 16:00,3,3,3,N/A,n/e,n/e,15,15,15
09.01.2022 16:00 - 09.01.2022 17:00,0,0,0,N/A,n/e,n/e,9,9,9
09.01.2022 17:00 - 09.01.2022 18:00,0,0,0,N/A,n/e,n/e,11,11,11
09.01.2022 18:00 - 09.01.2022 19:00,0,0,0,N/A,n/e,n/e,8,8,8
09.01.2022 19:00 - 09.01.2022 20:00,0,0,0,N/A,n/e,n/e,7,7,7
09.01.2022 20:00 - 09.01.2022 21:00,0,0,0,N/A,n/e,n/e,3,3,3
09.01.2022 21:00 - 09.01.2022 22:00,0,0,0,N/A,n/e,n/e,13,13,13
09.01.2022 22:00 - 09.01.2022 23:00,0,0,0,N/A,n/e,n/e,10,10,10
09.01.2022 23:00 - 10.01.2022 00:00,0,0,0,N/A,n/e,n/e,14,14,14
10.01.2022 00:00 - 10.01.2022 01:00,0,0,0,N/A,n/e,n/e,11,11,11
10.01.2022 01:00 - 10.01.2022 02:00,0,0,0,N/A,n/e,n/e,19,19,19
10.01.2022 02:00 - 10.01.2022 03:00,0,0,0,N/A,n/e,n/e,42,42,42
10.01.2022 03:00 - 10.01.2022 04:00,0,0,0,N/A,n/e,n/e,73,73,73
10.01.2022 04:00 - 10.01.2022 05:00,0,0,0,N/A,n/e,n/e,90,90,90
10.01.2022 05:00 - 10.01.2022 06:00,0,0,0,N/A,n/e,n/e,100,100,100
10.01.2022 06:00 - 10.01.2022 07:00,0,0,0,N/A,n/e,n/e,183,183,183
10.01.2022 07:00 - 10.01.2022 08:00,2,2,2,N/A,n/e,n/e,187,187,187
10.01.2022 08:00 - 10.01.2022 09:00,11,11,11,N/A,n/e,n/e,292,292,292
10.01.2022 09:00 - 10.01.2022 10:00,23,23,23,N/A,n/e,n/e,388,388,388
10.01.2022 10:00 - 10.01.2022 11:00,34,34,34,N/A,n/e,n/e,442,442,442
10.01.2022 11:00 - 10.01.2022 12:00,40,40,40,N/A,n/e,n/e,454,454,454
10.01.2022 12:00 - 10.01.2022 13:00,35,35,35,N/A,n/e,n/e,462,462,462
