MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Ireland (IE),Generation - Solar  [MW] Intraday / Ireland (IE),Generation - Solar  [MW] Current / Ireland (IE),Generation - Wind Offshore  [MW] Day Ahead/ Ireland (IE),Generation - Wind Offshore  [MW] Intraday / Ireland (IE),Generation - Wind Offshore  [MW] Current / Ireland (IE),Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE),Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE),Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE)
08.01.2022 03:00 - 08.01.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,3331,3331,3331
08.01.2022 04:00 - 08.01.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,3451,3451,3451
08.01.2022 05:00 - 08.01.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,3539,3539,3539
08.01.2022 06:00 - 08.01.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,3547,3547,3547
08.01.2022 07:00 - 08.01.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,3465,3465,3465
08.01.2022 08:00 - 08.01.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,3283,3283,3283
08.01.2022 09:00 - 08.01.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,3164,3164,3164
08.01.2022 10:00 - 08.01.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,3204,3204,3204
08.01.2022 11:00 - 08.01.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,3324,3324,3324
08.01.2022 12:00 - 08.01.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,3481,3481,3481
08.01.2022 13:00 - 08.01.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,3562,3562,3562
08.01.2022 14:00 - 08.01.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,3569,3569,3569
08.01.2022 15:00 - 08.01.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,3543,3543,3543
08.01.2022 16:00 - 08.01.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,3488,3488,3488
08.01.2022 17:00 - 08.01.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,3445,3445,3445
08.01.2022 18:00 - 08.01.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,3408,3408,3408
08.01.2022 19:00 - 08.01.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,3376,3376,3376
08.01.2022 20:00 - 08.01.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,3322,3322,3322
08.01.2022 21:00 - 08.01.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,3264,3264,3264
08.01.2022 22:00 - 08.01.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,3255,3255,3255
08.01.2022 23:00 - 09.01.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,3310,3310,3310
