MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Germany (DE),Generation - Solar  [MW] Intraday / Germany (DE),Generation - Solar  [MW] Day Ahead/ Germany (DE),Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Offshore  [MW] Intraday / Germany (DE),Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Onshore  [MW] Intraday / Germany (DE),Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)
02.01.2022 13:30 - 02.01.2022 13:45,4205,4352,4205,5607,5804,5607,28201,31492,28201
02.01.2022 13:45 - 02.01.2022 14:00,3911,4017,3911,5631,5884,5631,28739,31972,28739
02.01.2022 14:00 - 02.01.2022 14:15,3615,3329,3615,5652,5954,5652,29242,31696,29242
02.01.2022 14:15 - 02.01.2022 14:30,3302,2989,3302,5621,5997,5621,29832,32028,29832
02.01.2022 14:30 - 02.01.2022 14:45,2898,2626,2898,5659,6035,5659,30451,32544,30451
02.01.2022 14:45 - 02.01.2022 15:00,2446,2239,2446,5697,6066,5697,31036,33016,31036
02.01.2022 15:00 - 02.01.2022 15:15,1962,1826,1962,5726,6044,5726,31572,33444,31572
02.01.2022 15:15 - 02.01.2022 15:30,1498,1393,1498,5738,6090,5738,32014,33816,32014
02.01.2022 15:30 - 02.01.2022 15:45,1050,964,1050,5744,6137,5744,32440,34739,32440
02.01.2022 15:45 - 02.01.2022 16:00,657,604,657,5748,6176,5748,32824,35073,32824
02.01.2022 16:00 - 02.01.2022 16:15,358,332,358,5750,6209,5750,33174,35377,33174
02.01.2022 16:15 - 02.01.2022 16:30,152,143,152,5808,6116,5808,33418,35552,33418
02.01.2022 16:30 - 02.01.2022 16:45,33,24,33,5863,5977,5863,33650,35725,33650
02.01.2022 16:45 - 02.01.2022 17:00,9,7,9,5910,5998,5910,33888,35890,33888
02.01.2022 17:00 - 02.01.2022 17:15,0,0,0,5957,6012,5957,34099,36037,34099
02.01.2022 17:15 - 02.01.2022 17:30,0,0,0,5998,6027,5998,34211,36069,34211
02.01.2022 17:30 - 02.01.2022 17:45,0,0,0,6035,6039,6035,34314,36089,34314
02.01.2022 17:45 - 02.01.2022 18:00,0,0,0,6072,6051,6072,34422,36105,34422
02.01.2022 18:00 - 02.01.2022 18:15,0,0,0,6101,6062,6101,34507,36096,34507
02.01.2022 18:15 - 02.01.2022 18:30,0,0,0,6132,6076,6132,34539,35997,34539
02.01.2022 18:30 - 02.01.2022 18:45,0,0,0,6160,6127,6160,34568,35903,34568
02.01.2022 18:45 - 02.01.2022 19:00,0,0,0,6191,6139,6191,34583,35807,34583
02.01.2022 19:00 - 02.01.2022 19:15,0,0,0,6210,6144,6210,34598,35725,34598
02.01.2022 19:15 - 02.01.2022 19:30,0,0,0,6236,6140,6236,34519,35568,34519
02.01.2022 19:30 - 02.01.2022 19:45,0,0,0,6257,6136,6257,34442,35424,34442
02.01.2022 19:45 - 02.01.2022 20:00,0,0,0,6281,6128,6281,34323,35290,34323
02.01.2022 20:00 - 02.01.2022 20:15,0,0,0,6329,6123,6329,34178,35178,34178
02.01.2022 20:15 - 02.01.2022 20:30,0,0,0,6324,6122,6324,33977,34986,33977
02.01.2022 20:30 - 02.01.2022 20:45,0,0,0,6322,6115,6322,33847,34819,33847
02.01.2022 20:45 - 02.01.2022 21:00,0,0,0,6319,6113,6319,33716,34628,33716
02.01.2022 21:00 - 02.01.2022 21:15,0,0,0,6316,6109,6316,33587,34409,33587
02.01.2022 21:15 - 02.01.2022 21:30,0,0,0,6313,6333,6313,33457,34160,33457
02.01.2022 21:30 - 02.01.2022 21:45,0,0,0,6307,6326,6307,33318,33889,33318
02.01.2022 21:45 - 02.01.2022 22:00,0,0,0,6301,6361,6301,33125,33579,33125
