Time (CET/CEST),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Offshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Offshore  [MW] Intraday / United Kindom (UK),Generation - Wind Offshore  [MW] Current / United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK)
05.01.2022 16:00 - 05.01.2022 16:30,0,0,0,0,0,0,1213,1213,1213
05.01.2022 16:30 - 05.01.2022 17:00,0,0,0,0,0,0,1174,1174,1174
05.01.2022 17:00 - 05.01.2022 17:30,0,0,0,0,0,0,1067,1067,1067
05.01.2022 17:30 - 05.01.2022 18:00,0,0,0,0,0,0,991,991,991
05.01.2022 18:00 - 05.01.2022 18:30,0,0,0,0,0,0,913,913,913
05.01.2022 18:30 - 05.01.2022 19:00,0,0,0,0,0,0,868,868,868
05.01.2022 19:00 - 05.01.2022 19:30,0,0,0,0,0,0,777,777,777
05.01.2022 19:30 - 05.01.2022 20:00,0,0,0,0,0,0,713,713,713
05.01.2022 20:00 - 05.01.2022 20:30,0,0,0,0,0,0,670,670,670
05.01.2022 20:30 - 05.01.2022 21:00,0,0,0,0,0,0,654,654,654
05.01.2022 21:00 - 05.01.2022 21:30,0,0,0,0,0,0,604,604,604
05.01.2022 21:30 - 05.01.2022 22:00,0,0,0,0,0,0,579,579,579
05.01.2022 22:00 - 05.01.2022 22:30,0,0,0,0,0,0,563,563,563
05.01.2022 22:30 - 05.01.2022 23:00,0,0,0,0,0,0,577,577,577
05.01.2022 23:00 - 05.01.2022 23:30,0,0,0,0,0,0,557,557,557
05.01.2022 23:30 - 06.01.2022 00:00,0,0,0,0,0,0,566,566,566
06.01.2022 00:00 - 06.01.2022 00:30,0,0,0,0,0,0,587,587,587
06.01.2022 00:30 - 06.01.2022 01:00,0,0,0,0,0,0,642,642,642
06.01.2022 01:00 - 06.01.2022 01:30,0,0,0,0,0,0,728,728,728
06.01.2022 01:30 - 06.01.2022 02:00,0,0,0,0,0,0,852,852,852
06.01.2022 02:00 - 06.01.2022 02:30,0,0,0,0,0,0,939,939,939
