Time (CET/CEST),Day-ahead Total Load Forecast [MW] - United Kindom (UK),Actual Total Load [MW] - United Kindom (UK)
07.01.2022 22:30 - 07.01.2022 23:00,30877,30877
07.01.2022 23:00 - 07.01.2022 23:30,29311,29311
07.01.2022 23:30 - 08.01.2022 00:00,28143,28143
08.01.2022 00:00 - 08.01.2022 00:30,27774,27774
08.01.2022 00:30 - 08.01.2022 01:00,28094,28094
08.01.2022 01:00 - 08.01.2022 01:30,27703,27703
08.01.2022 01:30 - 08.01.2022 02:00,26703,26703
08.01.2022 02:00 - 08.01.2022 02:30,26034,26034
08.01.2022 02:30 - 08.01.2022 03:00,25425,25425
08.01.2022 03:00 - 08.01.2022 03:30,24749,24749
08.01.2022 03:30 - 08.01.2022 04:00,24118,24118
08.01.2022 04:00 - 08.01.2022 04:30,23201,23201
08.01.2022 04:30 - 08.01.2022 05:00,22797,22797
08.01.2022 05:00 - 08.01.2022 05:30,22834,22834
08.01.2022 05:30 - 08.01.2022 06:00,22945,22945
08.01.2022 06:00 - 08.01.2022 06:30,23980,23980
08.01.2022 06:30 - 08.01.2022 07:00,24868,24868
08.01.2022 07:00 - 08.01.2022 07:30,26275,26275
08.01.2022 07:30 - 08.01.2022 08:00,27299,27299
08.01.2022 08:00 - 08.01.2022 08:30,28958,28958
08.01.2022 08:30 - 08.01.2022 09:00,30482,30482
08.01.2022 09:00 - 08.01.2022 09:30,32264,32264
08.01.2022 09:30 - 08.01.2022 10:00,33312,33312
08.01.2022 10:00 - 08.01.2022 10:30,34316,34316
08.01.2022 10:30 - 08.01.2022 11:00,35047,35047
08.01.2022 11:00 - 08.01.2022 11:30,35444,35444
08.01.2022 11:30 - 08.01.2022 12:00,36097,36097
08.01.2022 12:00 - 08.01.2022 12:30,36322,36322
08.01.2022 12:30 - 08.01.2022 13:00,36510,36510
08.01.2022 13:00 - 08.01.2022 13:30,36452,36452
08.01.2022 13:30 - 08.01.2022 14:00,36091,36091
08.01.2022 14:00 - 08.01.2022 14:30,35737,35737
08.01.2022 14:30 - 08.01.2022 15:00,35616,35616
08.01.2022 15:00 - 08.01.2022 15:30,35798,35798
08.01.2022 15:30 - 08.01.2022 16:00,35965,35965
08.01.2022 16:00 - 08.01.2022 16:30,37206,37206
08.01.2022 16:30 - 08.01.2022 17:00,38351,38351
08.01.2022 17:00 - 08.01.2022 17:30,39170,39170
08.01.2022 17:30 - 08.01.2022 18:00,39430,39430
08.01.2022 18:00 - 08.01.2022 18:30,38995,38995
08.01.2022 18:30 - 08.01.2022 19:00,38081,38081
08.01.2022 19:00 - 08.01.2022 19:30,36701,36701
08.01.2022 19:30 - 08.01.2022 20:00,35180,35180
08.01.2022 20:00 - 08.01.2022 20:30,33891,33891
08.01.2022 20:30 - 08.01.2022 21:00,32654,32654
08.01.2022 21:00 - 08.01.2022 21:30,31338,31338
08.01.2022 21:30 - 08.01.2022 22:00,30178,30178
08.01.2022 22:00 - 08.01.2022 22:30,28763,28763
08.01.2022 22:30 - 08.01.2022 23:00,27532,27532
08.01.2022 23:00 - 08.01.2022 23:30,26233,26233
08.01.2022 23:30 - 09.01.2022 00:00,25064,25064
09.01.2022 00:00 - 09.01.2022 00:30,24924,24924
09.01.2022 00:30 - 09.01.2022 01:00,25495,25495
09.01.2022 01:00 - 09.01.2022 01:30,24929,24929
09.01.2022 01:30 - 09.01.2022 02:00,24426,24426
09.01.2022 02:00 - 09.01.2022 02:30,23788,23788
09.01.2022 02:30 - 09.01.2022 03:00,23358,23358
09.01.2022 03:00 - 09.01.2022 03:30,22878,22878
09.01.2022 03:30 - 09.01.2022 04:00,22513,22513
09.01.2022 04:00 - 09.01.2022 04:30,22137,22137
09.01.2022 04:30 - 09.01.2022 05:00,22004,22004
09.01.2022 05:00 - 09.01.2022 05:30,22147,22147
09.01.2022 05:30 - 09.01.2022 06:00,22544,22544
09.01.2022 06:00 - 09.01.2022 06:30,23464,23464
09.01.2022 06:30 - 09.01.2022 07:00,24128,24128
09.01.2022 07:00 - 09.01.2022 07:30,25392,25392
09.01.2022 07:30 - 09.01.2022 08:00,26502,26502
09.01.2022 08:00 - 09.01.2022 08:30,27916,27916
09.01.2022 08:30 - 09.01.2022 09:00,29498,29498
09.01.2022 09:00 - 09.01.2022 09:30,30866,30866
09.01.2022 09:30 - 09.01.2022 10:00,31594,31594
09.01.2022 10:00 - 09.01.2022 10:30,32221,32221
09.01.2022 10:30 - 09.01.2022 11:00,32455,32455
09.01.2022 11:00 - 09.01.2022 11:30,32719,32719
09.01.2022 11:30 - 09.01.2022 12:00,32967,32967
09.01.2022 12:00 - 09.01.2022 12:30,33344,33344
09.01.2022 12:30 - 09.01.2022 13:00,33896,33896
09.01.2022 13:00 - 09.01.2022 13:30,34424,34424
09.01.2022 13:30 - 09.01.2022 14:00,34697,34697
09.01.2022 14:00 - 09.01.2022 14:30,35018,35018
09.01.2022 14:30 - 09.01.2022 15:00,35652,35652
09.01.2022 15:00 - 09.01.2022 15:30,36655,36655
09.01.2022 15:30 - 09.01.2022 16:00,37998,37998
09.01.2022 16:00 - 09.01.2022 16:30,39823,39823
09.01.2022 16:30 - 09.01.2022 17:00,41189,41189
09.01.2022 17:00 - 09.01.2022 17:30,42175,42175
09.01.2022 17:30 - 09.01.2022 18:00,41997,41997
09.01.2022 18:00 - 09.01.2022 18:30,41294,41294
