Time (CET/CEST),Day-ahead Total Load Forecast [MW] - Ireland (IE),Actual Total Load [MW] - Ireland (IE)
11.07.2022 12:30 - 11.07.2022 13:00,N/A,N/A
11.07.2022 13:00 - 11.07.2022 13:30,N/A,N/A
11.07.2022 13:30 - 11.07.2022 14:00,N/A,N/A
11.07.2022 14:00 - 11.07.2022 14:30,N/A,N/A
11.07.2022 14:30 - 11.07.2022 15:00,N/A,N/A
11.07.2022 15:00 - 11.07.2022 15:30,N/A,N/A
11.07.2022 15:30 - 11.07.2022 16:00,N/A,N/A
11.07.2022 16:00 - 11.07.2022 16:30,N/A,N/A
11.07.2022 16:30 - 11.07.2022 17:00,N/A,N/A
11.07.2022 17:00 - 11.07.2022 17:30,N/A,N/A
11.07.2022 17:30 - 11.07.2022 18:00,N/A,N/A
11.07.2022 18:00 - 11.07.2022 18:30,N/A,N/A
11.07.2022 18:30 - 11.07.2022 19:00,N/A,N/A
11.07.2022 19:00 - 11.07.2022 19:30,N/A,N/A
11.07.2022 19:30 - 11.07.2022 20:00,N/A,N/A
11.07.2022 20:00 - 11.07.2022 20:30,N/A,N/A
11.07.2022 20:30 - 11.07.2022 21:00,N/A,N/A
11.07.2022 21:00 - 11.07.2022 21:30,N/A,N/A
11.07.2022 21:30 - 11.07.2022 22:00,N/A,N/A
11.07.2022 22:00 - 11.07.2022 22:30,N/A,N/A
11.07.2022 22:30 - 11.07.2022 23:00,N/A,N/A
11.07.2022 23:00 - 11.07.2022 23:30,N/A,N/A
11.07.2022 23:30 - 12.07.2022 00:00,N/A,N/A
12.07.2022 00:00 - 12.07.2022 00:30,N/A,N/A
12.07.2022 00:30 - 12.07.2022 01:00,N/A,N/A
12.07.2022 01:00 - 12.07.2022 01:30,N/A,N/A
12.07.2022 01:30 - 12.07.2022 02:00,N/A,N/A
12.07.2022 02:00 - 12.07.2022 02:30,N/A,N/A
12.07.2022 02:30 - 12.07.2022 03:00,N/A,N/A
12.07.2022 03:00 - 12.07.2022 03:30,N/A,N/A
12.07.2022 03:30 - 12.07.2022 04:00,N/A,N/A
12.07.2022 04:00 - 12.07.2022 04:30,N/A,N/A
12.07.2022 04:30 - 12.07.2022 05:00,N/A,N/A
12.07.2022 05:00 - 12.07.2022 05:30,N/A,N/A
12.07.2022 05:30 - 12.07.2022 06:00,N/A,N/A
12.07.2022 06:00 - 12.07.2022 06:30,N/A,N/A
12.07.2022 06:30 - 12.07.2022 07:00,N/A,N/A
12.07.2022 07:00 - 12.07.2022 07:30,N/A,N/A
12.07.2022 07:30 - 12.07.2022 08:00,N/A,N/A
12.07.2022 08:00 - 12.07.2022 08:30,N/A,N/A
12.07.2022 08:30 - 12.07.2022 09:00,N/A,N/A
12.07.2022 09:00 - 12.07.2022 09:30,N/A,N/A
12.07.2022 09:30 - 12.07.2022 10:00,N/A,N/A
12.07.2022 10:00 - 12.07.2022 10:30,N/A,N/A
12.07.2022 10:30 - 12.07.2022 11:00,N/A,N/A
12.07.2022 11:00 - 12.07.2022 11:30,N/A,N/A
12.07.2022 11:30 - 12.07.2022 12:00,N/A,N/A
12.07.2022 12:00 - 12.07.2022 12:30,N/A,N/A
12.07.2022 12:30 - 12.07.2022 13:00,N/A,N/A
12.07.2022 13:00 - 12.07.2022 13:30,N/A,N/A
12.07.2022 13:30 - 12.07.2022 14:00,N/A,N/A
12.07.2022 14:00 - 12.07.2022 14:30,N/A,N/A
12.07.2022 14:30 - 12.07.2022 15:00,N/A,N/A
12.07.2022 15:00 - 12.07.2022 15:30,N/A,N/A
12.07.2022 15:30 - 12.07.2022 16:00,N/A,N/A
12.07.2022 16:00 - 12.07.2022 16:30,N/A,N/A
12.07.2022 16:30 - 12.07.2022 17:00,N/A,N/A
12.07.2022 17:00 - 12.07.2022 17:30,N/A,N/A
12.07.2022 17:30 - 12.07.2022 18:00,N/A,N/A
12.07.2022 18:00 - 12.07.2022 18:30,N/A,N/A
12.07.2022 18:30 - 12.07.2022 19:00,N/A,N/A
12.07.2022 19:00 - 12.07.2022 19:30,N/A,N/A
12.07.2022 19:30 - 12.07.2022 20:00,N/A,N/A
12.07.2022 20:00 - 12.07.2022 20:30,N/A,N/A
12.07.2022 20:30 - 12.07.2022 21:00,N/A,N/A
12.07.2022 21:00 - 12.07.2022 21:30,N/A,N/A
12.07.2022 21:30 - 12.07.2022 22:00,N/A,N/A
12.07.2022 22:00 - 12.07.2022 22:30,N/A,N/A
12.07.2022 22:30 - 12.07.2022 23:00,N/A,N/A
12.07.2022 23:00 - 12.07.2022 23:30,N/A,N/A
12.07.2022 23:30 - 13.07.2022 00:00,N/A,N/A
13.07.2022 00:00 - 13.07.2022 00:30,N/A,N/A
13.07.2022 00:30 - 13.07.2022 01:00,N/A,N/A
13.07.2022 01:00 - 13.07.2022 01:30,N/A,N/A
13.07.2022 01:30 - 13.07.2022 02:00,N/A,N/A
13.07.2022 02:00 - 13.07.2022 02:30,N/A,N/A
13.07.2022 02:30 - 13.07.2022 03:00,N/A,N/A
13.07.2022 03:00 - 13.07.2022 03:30,N/A,N/A
13.07.2022 03:30 - 13.07.2022 04:00,N/A,N/A
13.07.2022 04:00 - 13.07.2022 04:30,N/A,N/A
13.07.2022 04:30 - 13.07.2022 05:00,N/A,N/A
13.07.2022 05:00 - 13.07.2022 05:30,N/A,N/A
13.07.2022 05:30 - 13.07.2022 06:00,N/A,N/A
13.07.2022 06:00 - 13.07.2022 06:30,N/A,N/A
13.07.2022 06:30 - 13.07.2022 07:00,N/A,N/A
13.07.2022 07:00 - 13.07.2022 07:30,N/A,N/A
13.07.2022 07:30 - 13.07.2022 08:00,N/A,N/A
13.07.2022 08:00 - 13.07.2022 08:30,N/A,N/A
13.07.2022 08:30 - 13.07.2022 09:00,N/A,N/A
13.07.2022 09:00 - 13.07.2022 09:30,N/A,N/A
13.07.2022 09:30 - 13.07.2022 10:00,N/A,N/A
13.07.2022 10:00 - 13.07.2022 10:30,N/A,N/A
13.07.2022 10:30 - 13.07.2022 11:00,N/A,N/A
13.07.2022 11:00 - 13.07.2022 11:30,N/A,N/A
13.07.2022 11:30 - 13.07.2022 12:00,N/A,N/A
13.07.2022 12:00 - 13.07.2022 12:30,N/A,N/A
13.07.2022 12:30 - 13.07.2022 13:00,N/A,N/A
13.07.2022 13:00 - 13.07.2022 13:30,N/A,N/A
13.07.2022 13:30 - 13.07.2022 14:00,N/A,N/A
13.07.2022 14:00 - 13.07.2022 14:30,N/A,N/A
13.07.2022 14:30 - 13.07.2022 15:00,N/A,N/A
13.07.2022 15:00 - 13.07.2022 15:30,N/A,N/A
13.07.2022 15:30 - 13.07.2022 16:00,N/A,N/A
13.07.2022 16:00 - 13.07.2022 16:30,N/A,N/A
13.07.2022 16:30 - 13.07.2022 17:00,N/A,N/A
13.07.2022 17:00 - 13.07.2022 17:30,N/A,N/A
13.07.2022 17:30 - 13.07.2022 18:00,N/A,N/A
13.07.2022 18:00 - 13.07.2022 18:30,N/A,N/A
13.07.2022 18:30 - 13.07.2022 19:00,N/A,N/A
13.07.2022 19:00 - 13.07.2022 19:30,N/A,N/A
13.07.2022 19:30 - 13.07.2022 20:00,N/A,N/A
13.07.2022 20:00 - 13.07.2022 20:30,N/A,N/A
13.07.2022 20:30 - 13.07.2022 21:00,N/A,N/A
13.07.2022 21:00 - 13.07.2022 21:30,N/A,N/A
13.07.2022 21:30 - 13.07.2022 22:00,N/A,N/A
13.07.2022 22:00 - 13.07.2022 22:30,N/A,N/A
13.07.2022 22:30 - 13.07.2022 23:00,N/A,N/A
13.07.2022 23:00 - 13.07.2022 23:30,N/A,N/A
13.07.2022 23:30 - 14.07.2022 00:00,N/A,N/A
14.07.2022 00:00 - 14.07.2022 00:30,N/A,N/A
14.07.2022 00:30 - 14.07.2022 01:00,N/A,N/A
14.07.2022 01:00 - 14.07.2022 01:30,N/A,N/A
14.07.2022 01:30 - 14.07.2022 02:00,N/A,N/A
14.07.2022 02:00 - 14.07.2022 02:30,N/A,N/A
14.07.2022 02:30 - 14.07.2022 03:00,N/A,N/A
14.07.2022 03:00 - 14.07.2022 03:30,N/A,N/A
14.07.2022 03:30 - 14.07.2022 04:00,N/A,N/A
14.07.2022 04:00 - 14.07.2022 04:30,N/A,N/A
14.07.2022 04:30 - 14.07.2022 05:00,N/A,N/A
14.07.2022 05:00 - 14.07.2022 05:30,N/A,N/A
14.07.2022 05:30 - 14.07.2022 06:00,N/A,N/A
14.07.2022 06:00 - 14.07.2022 06:30,N/A,N/A
14.07.2022 06:30 - 14.07.2022 07:00,N/A,N/A
14.07.2022 07:00 - 14.07.2022 07:30,N/A,N/A
14.07.2022 07:30 - 14.07.2022 08:00,N/A,N/A
14.07.2022 08:00 - 14.07.2022 08:30,N/A,N/A
14.07.2022 08:30 - 14.07.2022 09:00,N/A,N/A
14.07.2022 09:00 - 14.07.2022 09:30,N/A,N/A
14.07.2022 09:30 - 14.07.2022 10:00,N/A,N/A
14.07.2022 10:00 - 14.07.2022 10:30,N/A,N/A
14.07.2022 10:30 - 14.07.2022 11:00,N/A,N/A
14.07.2022 11:00 - 14.07.2022 11:30,N/A,N/A
14.07.2022 11:30 - 14.07.2022 12:00,N/A,N/A
14.07.2022 12:00 - 14.07.2022 12:30,N/A,N/A
14.07.2022 12:30 - 14.07.2022 13:00,N/A,N/A
14.07.2022 13:00 - 14.07.2022 13:30,N/A,N/A
14.07.2022 13:30 - 14.07.2022 14:00,N/A,N/A
14.07.2022 14:00 - 14.07.2022 14:30,N/A,N/A
14.07.2022 14:30 - 14.07.2022 15:00,N/A,N/A
14.07.2022 15:00 - 14.07.2022 15:30,N/A,N/A
14.07.2022 15:30 - 14.07.2022 16:00,N/A,N/A
14.07.2022 16:00 - 14.07.2022 16:30,N/A,N/A
14.07.2022 16:30 - 14.07.2022 17:00,N/A,N/A
14.07.2022 17:00 - 14.07.2022 17:30,N/A,N/A
14.07.2022 17:30 - 14.07.2022 18:00,N/A,N/A
14.07.2022 18:00 - 14.07.2022 18:30,N/A,N/A
14.07.2022 18:30 - 14.07.2022 19:00,N/A,N/A
14.07.2022 19:00 - 14.07.2022 19:30,N/A,N/A
14.07.2022 19:30 - 14.07.2022 20:00,N/A,N/A
14.07.2022 20:00 - 14.07.2022 20:30,N/A,N/A
14.07.2022 20:30 - 14.07.2022 21:00,N/A,N/A
14.07.2022 21:00 - 14.07.2022 21:30,N/A,N/A
14.07.2022 21:30 - 14.07.2022 22:00,N/A,N/A
14.07.2022 22:00 - 14.07.2022 22:30,N/A,N/A
14.07.2022 22:30 - 14.07.2022 23:00,N/A,N/A
14.07.2022 23:00 - 14.07.2022 23:30,N/A,N/A
14.07.2022 23:30 - 15.07.2022 00:00,N/A,N/A
15.07.2022 00:00 - 15.07.2022 00:30,N/A,N/A
15.07.2022 00:30 - 15.07.2022 01:00,N/A,N/A
15.07.2022 01:00 - 15.07.2022 01:30,N/A,N/A
15.07.2022 01:30 - 15.07.2022 02:00,N/A,N/A
15.07.2022 02:00 - 15.07.2022 02:30,N/A,N/A
15.07.2022 02:30 - 15.07.2022 03:00,N/A,N/A
15.07.2022 03:00 - 15.07.2022 03:30,N/A,N/A
15.07.2022 03:30 - 15.07.2022 04:00,N/A,N/A
15.07.2022 04:00 - 15.07.2022 04:30,N/A,N/A
15.07.2022 04:30 - 15.07.2022 05:00,N/A,N/A
15.07.2022 05:00 - 15.07.2022 05:30,N/A,N/A
15.07.2022 05:30 - 15.07.2022 06:00,N/A,N/A
15.07.2022 06:00 - 15.07.2022 06:30,N/A,N/A
15.07.2022 06:30 - 15.07.2022 07:00,N/A,N/A
15.07.2022 07:00 - 15.07.2022 07:30,N/A,N/A
15.07.2022 07:30 - 15.07.2022 08:00,N/A,N/A
15.07.2022 08:00 - 15.07.2022 08:30,N/A,N/A
15.07.2022 08:30 - 15.07.2022 09:00,N/A,N/A
15.07.2022 09:00 - 15.07.2022 09:30,N/A,N/A
15.07.2022 09:30 - 15.07.2022 10:00,N/A,N/A
15.07.2022 10:00 - 15.07.2022 10:30,N/A,N/A
15.07.2022 10:30 - 15.07.2022 11:00,N/A,N/A
15.07.2022 11:00 - 15.07.2022 11:30,N/A,N/A
15.07.2022 11:30 - 15.07.2022 12:00,N/A,N/A
15.07.2022 12:00 - 15.07.2022 12:30,N/A,N/A
15.07.2022 12:30 - 15.07.2022 13:00,N/A,N/A
15.07.2022 13:00 - 15.07.2022 13:30,N/A,N/A
15.07.2022 13:30 - 15.07.2022 14:00,N/A,N/A
15.07.2022 14:00 - 15.07.2022 14:30,N/A,N/A
15.07.2022 14:30 - 15.07.2022 15:00,N/A,N/A
15.07.2022 15:00 - 15.07.2022 15:30,N/A,N/A
15.07.2022 15:30 - 15.07.2022 16:00,N/A,N/A
15.07.2022 16:00 - 15.07.2022 16:30,N/A,N/A
15.07.2022 16:30 - 15.07.2022 17:00,N/A,N/A
15.07.2022 17:00 - 15.07.2022 17:30,N/A,N/A
15.07.2022 17:30 - 15.07.2022 18:00,N/A,N/A
15.07.2022 18:00 - 15.07.2022 18:30,N/A,N/A
15.07.2022 18:30 - 15.07.2022 19:00,N/A,N/A
15.07.2022 19:00 - 15.07.2022 19:30,N/A,N/A
15.07.2022 19:30 - 15.07.2022 20:00,N/A,N/A
15.07.2022 20:00 - 15.07.2022 20:30,N/A,N/A
15.07.2022 20:30 - 15.07.2022 21:00,N/A,N/A
15.07.2022 21:00 - 15.07.2022 21:30,N/A,N/A
15.07.2022 21:30 - 15.07.2022 22:00,N/A,N/A
15.07.2022 22:00 - 15.07.2022 22:30,N/A,N/A
15.07.2022 22:30 - 15.07.2022 23:00,N/A,N/A
15.07.2022 23:00 - 15.07.2022 23:30,N/A,N/A
15.07.2022 23:30 - 16.07.2022 00:00,N/A,N/A
16.07.2022 00:00 - 16.07.2022 00:30,N/A,N/A
16.07.2022 00:30 - 16.07.2022 01:00,N/A,N/A
16.07.2022 01:00 - 16.07.2022 01:30,N/A,N/A
16.07.2022 01:30 - 16.07.2022 02:00,N/A,N/A
16.07.2022 02:00 - 16.07.2022 02:30,N/A,N/A
16.07.2022 02:30 - 16.07.2022 03:00,N/A,N/A
16.07.2022 03:00 - 16.07.2022 03:30,N/A,N/A
16.07.2022 03:30 - 16.07.2022 04:00,N/A,N/A
16.07.2022 04:00 - 16.07.2022 04:30,N/A,N/A
16.07.2022 04:30 - 16.07.2022 05:00,N/A,N/A
16.07.2022 05:00 - 16.07.2022 05:30,N/A,N/A
16.07.2022 05:30 - 16.07.2022 06:00,N/A,N/A
16.07.2022 06:00 - 16.07.2022 06:30,N/A,N/A
16.07.2022 06:30 - 16.07.2022 07:00,N/A,N/A
16.07.2022 07:00 - 16.07.2022 07:30,N/A,N/A
16.07.2022 07:30 - 16.07.2022 08:00,N/A,N/A
16.07.2022 08:00 - 16.07.2022 08:30,N/A,N/A
16.07.2022 08:30 - 16.07.2022 09:00,N/A,N/A
16.07.2022 09:00 - 16.07.2022 09:30,N/A,N/A
16.07.2022 09:30 - 16.07.2022 10:00,N/A,N/A
16.07.2022 10:00 - 16.07.2022 10:30,N/A,N/A
16.07.2022 10:30 - 16.07.2022 11:00,N/A,N/A
16.07.2022 11:00 - 16.07.2022 11:30,N/A,N/A
16.07.2022 11:30 - 16.07.2022 12:00,N/A,N/A
16.07.2022 12:00 - 16.07.2022 12:30,N/A,N/A
16.07.2022 12:30 - 16.07.2022 13:00,N/A,N/A
16.07.2022 13:00 - 16.07.2022 13:30,N/A,N/A
16.07.2022 13:30 - 16.07.2022 14:00,N/A,N/A
16.07.2022 14:00 - 16.07.2022 14:30,N/A,N/A
16.07.2022 14:30 - 16.07.2022 15:00,N/A,N/A
16.07.2022 15:00 - 16.07.2022 15:30,N/A,N/A
16.07.2022 15:30 - 16.07.2022 16:00,N/A,N/A
16.07.2022 16:00 - 16.07.2022 16:30,N/A,N/A
16.07.2022 16:30 - 16.07.2022 17:00,N/A,N/A
16.07.2022 17:00 - 16.07.2022 17:30,N/A,N/A
16.07.2022 17:30 - 16.07.2022 18:00,N/A,N/A
16.07.2022 18:00 - 16.07.2022 18:30,N/A,N/A
16.07.2022 18:30 - 16.07.2022 19:00,N/A,N/A
16.07.2022 19:00 - 16.07.2022 19:30,N/A,N/A
16.07.2022 19:30 - 16.07.2022 20:00,N/A,N/A
16.07.2022 20:00 - 16.07.2022 20:30,N/A,N/A
16.07.2022 20:30 - 16.07.2022 21:00,N/A,N/A
16.07.2022 21:00 - 16.07.2022 21:30,N/A,N/A
16.07.2022 21:30 - 16.07.2022 22:00,N/A,N/A
16.07.2022 22:00 - 16.07.2022 22:30,N/A,N/A
16.07.2022 22:30 - 16.07.2022 23:00,N/A,N/A
16.07.2022 23:00 - 16.07.2022 23:30,N/A,N/A
16.07.2022 23:30 - 17.07.2022 00:00,N/A,N/A
17.07.2022 00:00 - 17.07.2022 00:30,N/A,N/A
17.07.2022 00:30 - 17.07.2022 01:00,N/A,N/A
17.07.2022 01:00 - 17.07.2022 01:30,N/A,N/A
17.07.2022 01:30 - 17.07.2022 02:00,N/A,N/A
17.07.2022 02:00 - 17.07.2022 02:30,N/A,N/A
17.07.2022 02:30 - 17.07.2022 03:00,N/A,N/A
17.07.2022 03:00 - 17.07.2022 03:30,N/A,N/A
17.07.2022 03:30 - 17.07.2022 04:00,N/A,N/A
17.07.2022 04:00 - 17.07.2022 04:30,N/A,N/A
17.07.2022 04:30 - 17.07.2022 05:00,N/A,N/A
17.07.2022 05:00 - 17.07.2022 05:30,N/A,N/A
17.07.2022 05:30 - 17.07.2022 06:00,N/A,N/A
17.07.2022 06:00 - 17.07.2022 06:30,N/A,N/A
17.07.2022 06:30 - 17.07.2022 07:00,N/A,N/A
17.07.2022 07:00 - 17.07.2022 07:30,N/A,N/A
17.07.2022 07:30 - 17.07.2022 08:00,N/A,N/A
17.07.2022 08:00 - 17.07.2022 08:30,N/A,N/A
17.07.2022 08:30 - 17.07.2022 09:00,N/A,N/A
17.07.2022 09:00 - 17.07.2022 09:30,N/A,N/A
17.07.2022 09:30 - 17.07.2022 10:00,N/A,N/A
17.07.2022 10:00 - 17.07.2022 10:30,N/A,N/A
17.07.2022 10:30 - 17.07.2022 11:00,N/A,N/A
17.07.2022 11:00 - 17.07.2022 11:30,N/A,N/A
17.07.2022 11:30 - 17.07.2022 12:00,N/A,N/A
17.07.2022 12:00 - 17.07.2022 12:30,N/A,N/A
17.07.2022 12:30 - 17.07.2022 13:00,N/A,N/A
17.07.2022 13:00 - 17.07.2022 13:30,N/A,N/A
17.07.2022 13:30 - 17.07.2022 14:00,N/A,N/A
17.07.2022 14:00 - 17.07.2022 14:30,N/A,N/A
17.07.2022 14:30 - 17.07.2022 15:00,N/A,N/A
17.07.2022 15:00 - 17.07.2022 15:30,N/A,N/A
17.07.2022 15:30 - 17.07.2022 16:00,N/A,N/A
17.07.2022 16:00 - 17.07.2022 16:30,N/A,N/A
17.07.2022 16:30 - 17.07.2022 17:00,N/A,N/A
17.07.2022 17:00 - 17.07.2022 17:30,N/A,N/A
17.07.2022 17:30 - 17.07.2022 18:00,N/A,N/A
17.07.2022 18:00 - 17.07.2022 18:30,N/A,N/A
17.07.2022 18:30 - 17.07.2022 19:00,N/A,N/A
17.07.2022 19:00 - 17.07.2022 19:30,N/A,N/A
17.07.2022 19:30 - 17.07.2022 20:00,N/A,N/A
17.07.2022 20:00 - 17.07.2022 20:30,N/A,N/A
17.07.2022 20:30 - 17.07.2022 21:00,N/A,N/A
17.07.2022 21:00 - 17.07.2022 21:30,N/A,N/A
17.07.2022 21:30 - 17.07.2022 22:00,N/A,N/A
17.07.2022 22:00 - 17.07.2022 22:30,N/A,N/A
17.07.2022 22:30 - 17.07.2022 23:00,N/A,N/A
17.07.2022 23:00 - 17.07.2022 23:30,N/A,N/A
17.07.2022 23:30 - 18.07.2022 00:00,N/A,N/A
18.07.2022 00:00 - 18.07.2022 00:30,N/A,N/A
18.07.2022 00:30 - 18.07.2022 01:00,N/A,N/A
18.07.2022 01:00 - 18.07.2022 01:30,N/A,N/A
18.07.2022 01:30 - 18.07.2022 02:00,N/A,N/A
18.07.2022 02:00 - 18.07.2022 02:30,N/A,N/A
18.07.2022 02:30 - 18.07.2022 03:00,N/A,N/A
18.07.2022 03:00 - 18.07.2022 03:30,N/A,N/A
18.07.2022 03:30 - 18.07.2022 04:00,N/A,N/A
18.07.2022 04:00 - 18.07.2022 04:30,N/A,N/A
18.07.2022 04:30 - 18.07.2022 05:00,N/A,N/A
18.07.2022 05:00 - 18.07.2022 05:30,N/A,N/A
18.07.2022 05:30 - 18.07.2022 06:00,N/A,N/A
18.07.2022 06:00 - 18.07.2022 06:30,N/A,N/A
18.07.2022 06:30 - 18.07.2022 07:00,N/A,N/A
18.07.2022 07:00 - 18.07.2022 07:30,N/A,N/A
18.07.2022 07:30 - 18.07.2022 08:00,N/A,N/A
18.07.2022 08:00 - 18.07.2022 08:30,N/A,N/A
18.07.2022 08:30 - 18.07.2022 09:00,N/A,N/A
18.07.2022 09:00 - 18.07.2022 09:30,N/A,N/A
18.07.2022 09:30 - 18.07.2022 10:00,N/A,N/A
18.07.2022 10:00 - 18.07.2022 10:30,N/A,N/A
18.07.2022 10:30 - 18.07.2022 11:00,N/A,N/A
18.07.2022 11:00 - 18.07.2022 11:30,N/A,N/A
18.07.2022 11:30 - 18.07.2022 12:00,N/A,N/A
18.07.2022 12:00 - 18.07.2022 12:30,N/A,N/A
18.07.2022 12:30 - 18.07.2022 13:00,N/A,N/A
18.07.2022 13:00 - 18.07.2022 13:30,N/A,N/A
18.07.2022 13:30 - 18.07.2022 14:00,N/A,N/A
18.07.2022 14:00 - 18.07.2022 14:30,N/A,N/A
18.07.2022 14:30 - 18.07.2022 15:00,N/A,N/A
18.07.2022 15:00 - 18.07.2022 15:30,N/A,N/A
18.07.2022 15:30 - 18.07.2022 16:00,N/A,N/A
18.07.2022 16:00 - 18.07.2022 16:30,N/A,N/A
18.07.2022 16:30 - 18.07.2022 17:00,N/A,N/A
18.07.2022 17:00 - 18.07.2022 17:30,N/A,N/A
18.07.2022 17:30 - 18.07.2022 18:00,N/A,N/A
18.07.2022 18:00 - 18.07.2022 18:30,N/A,N/A
18.07.2022 18:30 - 18.07.2022 19:00,N/A,N/A
18.07.2022 19:00 - 18.07.2022 19:30,N/A,N/A
18.07.2022 19:30 - 18.07.2022 20:00,N/A,N/A
18.07.2022 20:00 - 18.07.2022 20:30,N/A,N/A
18.07.2022 20:30 - 18.07.2022 21:00,N/A,N/A
18.07.2022 21:00 - 18.07.2022 21:30,N/A,N/A
18.07.2022 21:30 - 18.07.2022 22:00,N/A,N/A
18.07.2022 22:00 - 18.07.2022 22:30,N/A,N/A
18.07.2022 22:30 - 18.07.2022 23:00,N/A,N/A
18.07.2022 23:00 - 18.07.2022 23:30,N/A,N/A
18.07.2022 23:30 - 19.07.2022 00:00,N/A,N/A
19.07.2022 00:00 - 19.07.2022 00:30,N/A,N/A
19.07.2022 00:30 - 19.07.2022 01:00,N/A,N/A
19.07.2022 01:00 - 19.07.2022 01:30,N/A,N/A
19.07.2022 01:30 - 19.07.2022 02:00,N/A,N/A
19.07.2022 02:00 - 19.07.2022 02:30,N/A,N/A
19.07.2022 02:30 - 19.07.2022 03:00,N/A,N/A
19.07.2022 03:00 - 19.07.2022 03:30,N/A,N/A
19.07.2022 03:30 - 19.07.2022 04:00,N/A,N/A
19.07.2022 04:00 - 19.07.2022 04:30,N/A,N/A
19.07.2022 04:30 - 19.07.2022 05:00,N/A,N/A
19.07.2022 05:00 - 19.07.2022 05:30,N/A,N/A
19.07.2022 05:30 - 19.07.2022 06:00,N/A,N/A
19.07.2022 06:00 - 19.07.2022 06:30,N/A,N/A
19.07.2022 06:30 - 19.07.2022 07:00,N/A,N/A
19.07.2022 07:00 - 19.07.2022 07:30,N/A,N/A
19.07.2022 07:30 - 19.07.2022 08:00,N/A,N/A
19.07.2022 08:00 - 19.07.2022 08:30,N/A,N/A
19.07.2022 08:30 - 19.07.2022 09:00,N/A,N/A
19.07.2022 09:00 - 19.07.2022 09:30,N/A,N/A
19.07.2022 09:30 - 19.07.2022 10:00,N/A,N/A
19.07.2022 10:00 - 19.07.2022 10:30,N/A,N/A
19.07.2022 10:30 - 19.07.2022 11:00,N/A,N/A
19.07.2022 11:00 - 19.07.2022 11:30,N/A,N/A
19.07.2022 11:30 - 19.07.2022 12:00,N/A,N/A
19.07.2022 12:00 - 19.07.2022 12:30,N/A,N/A
19.07.2022 12:30 - 19.07.2022 13:00,N/A,N/A
19.07.2022 13:00 - 19.07.2022 13:30,N/A,N/A
19.07.2022 13:30 - 19.07.2022 14:00,N/A,N/A
19.07.2022 14:00 - 19.07.2022 14:30,N/A,N/A
19.07.2022 14:30 - 19.07.2022 15:00,N/A,N/A
19.07.2022 15:00 - 19.07.2022 15:30,N/A,N/A
19.07.2022 15:30 - 19.07.2022 16:00,N/A,N/A
19.07.2022 16:00 - 19.07.2022 16:30,N/A,N/A
19.07.2022 16:30 - 19.07.2022 17:00,N/A,N/A
19.07.2022 17:00 - 19.07.2022 17:30,N/A,N/A
19.07.2022 17:30 - 19.07.2022 18:00,N/A,N/A
19.07.2022 18:00 - 19.07.2022 18:30,N/A,N/A
19.07.2022 18:30 - 19.07.2022 19:00,N/A,N/A
19.07.2022 19:00 - 19.07.2022 19:30,N/A,N/A
19.07.2022 19:30 - 19.07.2022 20:00,N/A,N/A
19.07.2022 20:00 - 19.07.2022 20:30,N/A,N/A
19.07.2022 20:30 - 19.07.2022 21:00,N/A,N/A
19.07.2022 21:00 - 19.07.2022 21:30,N/A,N/A
19.07.2022 21:30 - 19.07.2022 22:00,N/A,N/A
19.07.2022 22:00 - 19.07.2022 22:30,N/A,N/A
19.07.2022 22:30 - 19.07.2022 23:00,N/A,N/A
19.07.2022 23:00 - 19.07.2022 23:30,N/A,N/A
19.07.2022 23:30 - 20.07.2022 00:00,N/A,N/A
20.07.2022 00:00 - 20.07.2022 00:30,N/A,N/A
20.07.2022 00:30 - 20.07.2022 01:00,N/A,N/A
20.07.2022 01:00 - 20.07.2022 01:30,N/A,N/A
20.07.2022 01:30 - 20.07.2022 02:00,N/A,N/A
20.07.2022 02:00 - 20.07.2022 02:30,N/A,N/A
20.07.2022 02:30 - 20.07.2022 03:00,N/A,N/A
20.07.2022 03:00 - 20.07.2022 03:30,N/A,N/A
20.07.2022 03:30 - 20.07.2022 04:00,N/A,N/A
20.07.2022 04:00 - 20.07.2022 04:30,N/A,N/A
20.07.2022 04:30 - 20.07.2022 05:00,N/A,N/A
20.07.2022 05:00 - 20.07.2022 05:30,N/A,N/A
20.07.2022 05:30 - 20.07.2022 06:00,N/A,N/A
20.07.2022 06:00 - 20.07.2022 06:30,N/A,N/A
20.07.2022 06:30 - 20.07.2022 07:00,N/A,N/A
20.07.2022 07:00 - 20.07.2022 07:30,N/A,N/A
20.07.2022 07:30 - 20.07.2022 08:00,N/A,N/A
20.07.2022 08:00 - 20.07.2022 08:30,N/A,N/A
20.07.2022 08:30 - 20.07.2022 09:00,N/A,N/A
20.07.2022 09:00 - 20.07.2022 09:30,N/A,N/A
20.07.2022 09:30 - 20.07.2022 10:00,N/A,N/A
20.07.2022 10:00 - 20.07.2022 10:30,N/A,N/A
20.07.2022 10:30 - 20.07.2022 11:00,N/A,N/A
20.07.2022 11:00 - 20.07.2022 11:30,N/A,N/A
20.07.2022 11:30 - 20.07.2022 12:00,N/A,N/A
20.07.2022 12:00 - 20.07.2022 12:30,N/A,N/A
20.07.2022 12:30 - 20.07.2022 13:00,N/A,N/A
20.07.2022 13:00 - 20.07.2022 13:30,N/A,N/A
20.07.2022 13:30 - 20.07.2022 14:00,N/A,N/A
