"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Greece (GR)","Generation - Solar  [MW] Intraday / Greece (GR)","Generation - Solar  [MW] Current / Greece (GR)","Generation - Wind Offshore  [MW] Day Ahead/ Greece (GR)","Generation - Wind Offshore  [MW] Intraday / Greece (GR)","Generation - Wind Offshore  [MW] Current / Greece (GR)","Generation - Wind Onshore  [MW] Day Ahead/ Greece (GR)","Generation - Wind Onshore  [MW] Intraday / Greece (GR)","Generation - Wind Onshore  [MW] Current / Greece (GR)"
"05.01.2022 14:00 - 05.01.2022 15:00","935","915","n/e","n/e","n/e","n/e","1676","1730","n/e"
"05.01.2022 15:00 - 05.01.2022 16:00","321","308","n/e","n/e","n/e","n/e","1729","1791","n/e"
"05.01.2022 16:00 - 05.01.2022 17:00","11","9","n/e","n/e","n/e","n/e","1804","1882","n/e"
"05.01.2022 17:00 - 05.01.2022 18:00","0","0","n/e","n/e","n/e","n/e","1879","1976","n/e"
"05.01.2022 18:00 - 05.01.2022 19:00","0","0","n/e","n/e","n/e","n/e","1962","2069","n/e"
"05.01.2022 19:00 - 05.01.2022 20:00","0","0","n/e","n/e","n/e","n/e","2017","2143","n/e"
"05.01.2022 20:00 - 05.01.2022 21:00","0","0","n/e","n/e","n/e","n/e","2051","2193","n/e"
"05.01.2022 21:00 - 05.01.2022 22:00","0","0","n/e","n/e","n/e","n/e","2087","2219","n/e"
"05.01.2022 22:00 - 05.01.2022 23:00","0","0","n/e","n/e","n/e","n/e","2107","2229","n/e"
"05.01.2022 23:00 - 06.01.2022 00:00","0","0","n/e","n/e","n/e","n/e","2223","2223","n/e"
"06.01.2022 00:00 - 06.01.2022 01:00","0","0","n/e","n/e","n/e","n/e","2158","2158","n/e"
"06.01.2022 01:00 - 06.01.2022 02:00","0","0","n/e","n/e","n/e","n/e","2123","2123","n/e"
"06.01.2022 02:00 - 06.01.2022 03:00","0","0","n/e","n/e","n/e","n/e","2082","2082","n/e"
"06.01.2022 03:00 - 06.01.2022 04:00","0","0","n/e","n/e","n/e","n/e","2021","2021","n/e"
"06.01.2022 04:00 - 06.01.2022 05:00","0","0","n/e","n/e","n/e","n/e","1967","1967","n/e"
"06.01.2022 05:00 - 06.01.2022 06:00","0","0","n/e","n/e","n/e","n/e","1940","1940","n/e"
"06.01.2022 06:00 - 06.01.2022 07:00","3","3","n/e","n/e","n/e","n/e","1918","1918","n/e"
"06.01.2022 07:00 - 06.01.2022 08:00","209","209","n/e","n/e","n/e","n/e","1887","1887","n/e"
"06.01.2022 08:00 - 06.01.2022 09:00","727","727","n/e","n/e","n/e","n/e","1843","1843","n/e"
