"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Denmark (DK)","Generation - Solar  [MW] Intraday / Denmark (DK)","Generation - Solar  [MW] Current / Denmark (DK)","Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Offshore  [MW] Intraday / Denmark (DK)","Generation - Wind Offshore  [MW] Current / Denmark (DK)","Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Onshore  [MW] Intraday / Denmark (DK)","Generation - Wind Onshore  [MW] Current / Denmark (DK)"
"08.01.2022 02:00 - 08.01.2022 03:00","0","n/e","n/e","608","n/e","n/e","865","n/e","n/e"
"08.01.2022 03:00 - 08.01.2022 04:00","0","n/e","n/e","698","n/e","n/e","877","n/e","n/e"
"08.01.2022 04:00 - 08.01.2022 05:00","0","n/e","n/e","810","n/e","n/e","973","n/e","n/e"
"08.01.2022 05:00 - 08.01.2022 06:00","0","n/e","n/e","948","n/e","n/e","1098","n/e","n/e"
"08.01.2022 06:00 - 08.01.2022 07:00","0","n/e","n/e","1086","n/e","n/e","1269","n/e","n/e"
"08.01.2022 07:00 - 08.01.2022 08:00","0","n/e","n/e","1108","n/e","n/e","1426","n/e","n/e"
"08.01.2022 08:00 - 08.01.2022 09:00","0","n/e","n/e","1142","n/e","n/e","1512","n/e","n/e"
"08.01.2022 09:00 - 08.01.2022 10:00","18","n/e","n/e","1157","n/e","n/e","1454","n/e","n/e"
"08.01.2022 10:00 - 08.01.2022 11:00","63","n/e","n/e","1111","n/e","n/e","1275","n/e","n/e"
"08.01.2022 11:00 - 08.01.2022 12:00","120","n/e","n/e","1003","n/e","n/e","1134","n/e","n/e"
"08.01.2022 12:00 - 08.01.2022 13:00","148","n/e","n/e","954","n/e","n/e","1017","n/e","n/e"
"08.01.2022 13:00 - 08.01.2022 14:00","120","n/e","n/e","1018","n/e","n/e","871","n/e","n/e"
"08.01.2022 14:00 - 08.01.2022 15:00","73","n/e","n/e","995","n/e","n/e","746","n/e","n/e"
"08.01.2022 15:00 - 08.01.2022 16:00","22","n/e","n/e","1033","n/e","n/e","701","n/e","n/e"
"08.01.2022 16:00 - 08.01.2022 17:00","0","n/e","n/e","1068","n/e","n/e","718","n/e","n/e"
"08.01.2022 17:00 - 08.01.2022 18:00","0","n/e","n/e","1042","n/e","n/e","792","n/e","n/e"
