"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ France (FR)","Generation - Solar  [MW] Intraday / France (FR)","Generation - Solar  [MW] Current / France (FR)","Generation - Wind Offshore  [MW] Day Ahead/ France (FR)","Generation - Wind Offshore  [MW] Intraday / France (FR)","Generation - Wind Offshore  [MW] Current / France (FR)","Generation - Wind Onshore  [MW] Day Ahead/ France (FR)","Generation - Wind Onshore  [MW] Intraday / France (FR)","Generation - Wind Onshore  [MW] Current / France (FR)"
"09.01.2022 05:00 - 09.01.2022 06:00","0","n/e","0","n/e","n/e","n/e","10660","n/e","10610"
"09.01.2022 06:00 - 09.01.2022 07:00","0","n/e","0","n/e","n/e","n/e","9967","n/e","9798"
"09.01.2022 07:00 - 09.01.2022 08:00","0","n/e","0","n/e","n/e","n/e","9272","n/e","9270"
"09.01.2022 08:00 - 09.01.2022 09:00","0","n/e","0","n/e","n/e","n/e","8744","n/e","8459"
"09.01.2022 09:00 - 09.01.2022 10:00","203","n/e","198","n/e","n/e","n/e","8217","n/e","7638"
"09.01.2022 10:00 - 09.01.2022 11:00","1113","n/e","1138","n/e","n/e","n/e","7691","n/e","6781"
"09.01.2022 11:00 - 09.01.2022 12:00","2074","n/e","2087","n/e","n/e","n/e","7457","n/e","6610"
"09.01.2022 12:00 - 09.01.2022 13:00","2673","n/e","2514","n/e","n/e","n/e","7223","n/e","6434"
"09.01.2022 13:00 - 09.01.2022 14:00","2764","n/e","2757","n/e","n/e","n/e","6988","n/e","6256"
"09.01.2022 14:00 - 09.01.2022 15:00","2446","n/e","2324","n/e","n/e","n/e","6542","n/e","5624"
"09.01.2022 15:00 - 09.01.2022 16:00","1686","n/e","1588","n/e","n/e","n/e","6095","n/e","4989"
"09.01.2022 16:00 - 09.01.2022 17:00","662","n/e","653","n/e","n/e","n/e","5650","n/e","4353"
"09.01.2022 17:00 - 09.01.2022 18:00","46","n/e","44","n/e","n/e","n/e","5401","n/e","4079"
"09.01.2022 18:00 - 09.01.2022 19:00","0","n/e","0","n/e","n/e","n/e","5152","n/e","3806"
"09.01.2022 19:00 - 09.01.2022 20:00","0","n/e","0","n/e","n/e","n/e","4902","n/e","3533"
"09.01.2022 20:00 - 09.01.2022 21:00","0","n/e","0","n/e","n/e","n/e","4520","n/e","3326"
"09.01.2022 21:00 - 09.01.2022 22:00","0","n/e","0","n/e","n/e","n/e","4137","n/e","3120"
"09.01.2022 22:00 - 09.01.2022 23:00","0","n/e","0","n/e","n/e","n/e","3762","n/e","2917"
