"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Belgium (BE)","Actual Total Load [MW] - Belgium (BE)"
"12.06.2022 02:00 - 12.06.2022 02:15","7473","7315"
"12.06.2022 02:15 - 12.06.2022 02:30","7446","7289"
"12.06.2022 02:30 - 12.06.2022 02:45","7354","7299"
"12.06.2022 02:45 - 12.06.2022 03:00","7388","7226"
"12.06.2022 03:00 - 12.06.2022 03:15","7311","7289"
"12.06.2022 03:15 - 12.06.2022 03:30","7262","7176"
"12.06.2022 03:30 - 12.06.2022 03:45","7282","7256"
"12.06.2022 03:45 - 12.06.2022 04:00","7256","7114"
"12.06.2022 04:00 - 12.06.2022 04:15","7196","7156"
"12.06.2022 04:15 - 12.06.2022 04:30","7202","7083"
"12.06.2022 04:30 - 12.06.2022 04:45","7197","7206"
"12.06.2022 04:45 - 12.06.2022 05:00","7236","7309"
"12.06.2022 05:00 - 12.06.2022 05:15","7178","7078"
"12.06.2022 05:15 - 12.06.2022 05:30","7137","7001"
"12.06.2022 05:30 - 12.06.2022 05:45","7057","7029"
"12.06.2022 05:45 - 12.06.2022 06:00","7025","7072"
"12.06.2022 06:00 - 12.06.2022 06:15","7033","7038"
"12.06.2022 06:15 - 12.06.2022 06:30","7120","7099"
"12.06.2022 06:30 - 12.06.2022 06:45","7145","7132"
"12.06.2022 06:45 - 12.06.2022 07:00","7209","7107"
"12.06.2022 07:00 - 12.06.2022 07:15","7293","7284"
"12.06.2022 07:15 - 12.06.2022 07:30","7407","7453"
"12.06.2022 07:30 - 12.06.2022 07:45","7469","7472"
"12.06.2022 07:45 - 12.06.2022 08:00","7495","7582"
"12.06.2022 08:00 - 12.06.2022 08:15","7671","7712"
"12.06.2022 08:15 - 12.06.2022 08:30","7759","7819"
"12.06.2022 08:30 - 12.06.2022 08:45","7907","8004"
"12.06.2022 08:45 - 12.06.2022 09:00","7980","8147"
"12.06.2022 09:00 - 12.06.2022 09:15","8063","8336"
"12.06.2022 09:15 - 12.06.2022 09:30","8252","8271"
"12.06.2022 09:30 - 12.06.2022 09:45","8361","8440"
"12.06.2022 09:45 - 12.06.2022 10:00","8468","8365"
"12.06.2022 10:00 - 12.06.2022 10:15","8506","8622"
"12.06.2022 10:15 - 12.06.2022 10:30","8594","8498"
"12.06.2022 10:30 - 12.06.2022 10:45","8605","8539"
"12.06.2022 10:45 - 12.06.2022 11:00","8613","8740"
"12.06.2022 11:00 - 12.06.2022 11:15","8627","8709"
"12.06.2022 11:15 - 12.06.2022 11:30","8711","8764"
"12.06.2022 11:30 - 12.06.2022 11:45","8907","8716"
"12.06.2022 11:45 - 12.06.2022 12:00","8938","8825"
"12.06.2022 12:00 - 12.06.2022 12:15","8897","8638"
"12.06.2022 12:15 - 12.06.2022 12:30","8886","8722"
"12.06.2022 12:30 - 12.06.2022 12:45","8851","8479"
"12.06.2022 12:45 - 12.06.2022 13:00","8791","8676"
"12.06.2022 13:00 - 12.06.2022 13:15","8638","8805"
"12.06.2022 13:15 - 12.06.2022 13:30","8519","8558"
"12.06.2022 13:30 - 12.06.2022 13:45","8491","8527"
"12.06.2022 13:45 - 12.06.2022 14:00","8391","8560"
"12.06.2022 14:00 - 12.06.2022 14:15","8408","8417"
"12.06.2022 14:15 - 12.06.2022 14:30","8414","8259"
"12.06.2022 14:30 - 12.06.2022 14:45","8336","8214"
"12.06.2022 14:45 - 12.06.2022 15:00","8222","8397"
"12.06.2022 15:00 - 12.06.2022 15:15","8248","8198"
"12.06.2022 15:15 - 12.06.2022 15:30","8210","7997"
"12.06.2022 15:30 - 12.06.2022 15:45","8249","8195"
"12.06.2022 15:45 - 12.06.2022 16:00","8149","8103"
"12.06.2022 16:00 - 12.06.2022 16:15","8224","8019"
"12.06.2022 16:15 - 12.06.2022 16:30","8280","8128"
"12.06.2022 16:30 - 12.06.2022 16:45","8213","7966"
"12.06.2022 16:45 - 12.06.2022 17:00","8305","8135"
"12.06.2022 17:00 - 12.06.2022 17:15","8390","7926"
"12.06.2022 17:15 - 12.06.2022 17:30","8471","8016"
"12.06.2022 17:30 - 12.06.2022 17:45","8423","8190"
"12.06.2022 17:45 - 12.06.2022 18:00","8541","8264"
"12.06.2022 18:00 - 12.06.2022 18:15","8591","8382"
"12.06.2022 18:15 - 12.06.2022 18:30","8632","8507"
"12.06.2022 18:30 - 12.06.2022 18:45","8748","8421"
"12.06.2022 18:45 - 12.06.2022 19:00","8763","8427"
"12.06.2022 19:00 - 12.06.2022 19:15","8820","8577"
"12.06.2022 19:15 - 12.06.2022 19:30","8805","8556"
"12.06.2022 19:30 - 12.06.2022 19:45","8779","8539"
"12.06.2022 19:45 - 12.06.2022 20:00","8769","8559"
"12.06.2022 20:00 - 12.06.2022 20:15","8826","8569"
"12.06.2022 20:15 - 12.06.2022 20:30","8803","8547"
"12.06.2022 20:30 - 12.06.2022 20:45","8824","8518"
"12.06.2022 20:45 - 12.06.2022 21:00","8747","8619"
"12.06.2022 21:00 - 12.06.2022 21:15","8771","8609"
"12.06.2022 21:15 - 12.06.2022 21:30","8725","8695"
"12.06.2022 21:30 - 12.06.2022 21:45","8687","8585"
"12.06.2022 21:45 - 12.06.2022 22:00","8732","8409"
"12.06.2022 22:00 - 12.06.2022 22:15","8724","8531"
"12.06.2022 22:15 - 12.06.2022 22:30","8755","8505"
"12.06.2022 22:30 - 12.06.2022 22:45","8722","8607"
"12.06.2022 22:45 - 12.06.2022 23:00","8629","8511"
"12.06.2022 23:00 - 12.06.2022 23:15","8520","8505"
"12.06.2022 23:15 - 12.06.2022 23:30","8381","8232"
"12.06.2022 23:30 - 12.06.2022 23:45","8209","8180"
"12.06.2022 23:45 - 13.06.2022 00:00","8137","8076"
"13.06.2022 00:00 - 13.06.2022 00:15","7999","8059"
"13.06.2022 00:15 - 13.06.2022 00:30","7895","7791"
"13.06.2022 00:30 - 13.06.2022 00:45","7789","7809"
"13.06.2022 00:45 - 13.06.2022 01:00","7705","7670"
"13.06.2022 01:00 - 13.06.2022 01:15","7650","7653"
"13.06.2022 01:15 - 13.06.2022 01:30","7572","7621"
"13.06.2022 01:30 - 13.06.2022 01:45","7461","7486"
"13.06.2022 01:45 - 13.06.2022 02:00","7375","7454"
"13.06.2022 02:00 - 13.06.2022 02:15","7398","7412"
"13.06.2022 02:15 - 13.06.2022 02:30","7404","7286"
"13.06.2022 02:30 - 13.06.2022 02:45","7419","7222"
"13.06.2022 02:45 - 13.06.2022 03:00","7328","7313"
"13.06.2022 03:00 - 13.06.2022 03:15","7355","7158"
"13.06.2022 03:15 - 13.06.2022 03:30","7293","7241"
"13.06.2022 03:30 - 13.06.2022 03:45","7340","7223"
"13.06.2022 03:45 - 13.06.2022 04:00","7341","7251"
"13.06.2022 04:00 - 13.06.2022 04:15","7416","7267"
"13.06.2022 04:15 - 13.06.2022 04:30","7462","7335"
"13.06.2022 04:30 - 13.06.2022 04:45","7538","7447"
"13.06.2022 04:45 - 13.06.2022 05:00","7567","7534"
"13.06.2022 05:00 - 13.06.2022 05:15","7668","7551"
"13.06.2022 05:15 - 13.06.2022 05:30","7775","7601"
"13.06.2022 05:30 - 13.06.2022 05:45","7847","7752"
"13.06.2022 05:45 - 13.06.2022 06:00","7857","7786"
"13.06.2022 06:00 - 13.06.2022 06:15","8180","8116"
"13.06.2022 06:15 - 13.06.2022 06:30","8422","8343"
"13.06.2022 06:30 - 13.06.2022 06:45","8731","8607"
"13.06.2022 06:45 - 13.06.2022 07:00","8916","8791"
"13.06.2022 07:00 - 13.06.2022 07:15","9204","8978"
"13.06.2022 07:15 - 13.06.2022 07:30","9447","9220"
"13.06.2022 07:30 - 13.06.2022 07:45","9731","9445"
"13.06.2022 07:45 - 13.06.2022 08:00","9721","9541"
"13.06.2022 08:00 - 13.06.2022 08:15","9832","9900"
"13.06.2022 08:15 - 13.06.2022 08:30","10018","9969"
"13.06.2022 08:30 - 13.06.2022 08:45","10156","10188"
"13.06.2022 08:45 - 13.06.2022 09:00","10221","10253"
"13.06.2022 09:00 - 13.06.2022 09:15","10353","10209"
"13.06.2022 09:15 - 13.06.2022 09:30","10400","10202"
"13.06.2022 09:30 - 13.06.2022 09:45","10464","10192"
"13.06.2022 09:45 - 13.06.2022 10:00","10419","10274"
"13.06.2022 10:00 - 13.06.2022 10:15","10476","10394"
"13.06.2022 10:15 - 13.06.2022 10:30","10575","10481"
"13.06.2022 10:30 - 13.06.2022 10:45","10625","10466"
"13.06.2022 10:45 - 13.06.2022 11:00","10721","10461"
"13.06.2022 11:00 - 13.06.2022 11:15","10748","10617"
"13.06.2022 11:15 - 13.06.2022 11:30","10825","10650"
"13.06.2022 11:30 - 13.06.2022 11:45","10807","10661"
"13.06.2022 11:45 - 13.06.2022 12:00","10682","10536"
"13.06.2022 12:00 - 13.06.2022 12:15","10569","10602"
"13.06.2022 12:15 - 13.06.2022 12:30","10563","10569"
"13.06.2022 12:30 - 13.06.2022 12:45","10568","10373"
"13.06.2022 12:45 - 13.06.2022 13:00","10572","10468"
"13.06.2022 13:00 - 13.06.2022 13:15","10571","10453"
"13.06.2022 13:15 - 13.06.2022 13:30","10501","10451"
"13.06.2022 13:30 - 13.06.2022 13:45","10441","10334"
"13.06.2022 13:45 - 13.06.2022 14:00","10555","10129"
"13.06.2022 14:00 - 13.06.2022 14:15","10512","10156"
"13.06.2022 14:15 - 13.06.2022 14:30","10415","10091"
"13.06.2022 14:30 - 13.06.2022 14:45","10359","10123"
"13.06.2022 14:45 - 13.06.2022 15:00","10161","10147"
"13.06.2022 15:00 - 13.06.2022 15:15","10236","9979"
"13.06.2022 15:15 - 13.06.2022 15:30","10167","10130"
"13.06.2022 15:30 - 13.06.2022 15:45","10164","10239"
"13.06.2022 15:45 - 13.06.2022 16:00","10084","9844"
"13.06.2022 16:00 - 13.06.2022 16:15","10111","9928"
"13.06.2022 16:15 - 13.06.2022 16:30","10068","9825"
"13.06.2022 16:30 - 13.06.2022 16:45","10099","9922"
"13.06.2022 16:45 - 13.06.2022 17:00","10156","9870"
"13.06.2022 17:00 - 13.06.2022 17:15","10134","10070"
"13.06.2022 17:15 - 13.06.2022 17:30","10206","9926"
"13.06.2022 17:30 - 13.06.2022 17:45","10234","10201"
"13.06.2022 17:45 - 13.06.2022 18:00","10288","10223"
"13.06.2022 18:00 - 13.06.2022 18:15","10411","10272"
"13.06.2022 18:15 - 13.06.2022 18:30","10364","10089"
"13.06.2022 18:30 - 13.06.2022 18:45","10312","10055"
"13.06.2022 18:45 - 13.06.2022 19:00","10201","10121"
"13.06.2022 19:00 - 13.06.2022 19:15","10166","10043"
"13.06.2022 19:15 - 13.06.2022 19:30","10099","9882"
"13.06.2022 19:30 - 13.06.2022 19:45","10082","9637"
"13.06.2022 19:45 - 13.06.2022 20:00","9935","9677"
"13.06.2022 20:00 - 13.06.2022 20:15","9912","9625"
"13.06.2022 20:15 - 13.06.2022 20:30","9773","9690"
"13.06.2022 20:30 - 13.06.2022 20:45","9687","9573"
"13.06.2022 20:45 - 13.06.2022 21:00","9556","9438"
"13.06.2022 21:00 - 13.06.2022 21:15","9467","9459"
"13.06.2022 21:15 - 13.06.2022 21:30","9369","9355"
"13.06.2022 21:30 - 13.06.2022 21:45","9316","9384"
"13.06.2022 21:45 - 13.06.2022 22:00","9326","9225"
"13.06.2022 22:00 - 13.06.2022 22:15","9398","9312"
"13.06.2022 22:15 - 13.06.2022 22:30","9384","9448"
"13.06.2022 22:30 - 13.06.2022 22:45","9379","9377"
"13.06.2022 22:45 - 13.06.2022 23:00","9282","9295"
"13.06.2022 23:00 - 13.06.2022 23:15","9175","9111"
"13.06.2022 23:15 - 13.06.2022 23:30","9027","8980"
"13.06.2022 23:30 - 13.06.2022 23:45","8912","8914"
"13.06.2022 23:45 - 14.06.2022 00:00","8732","8825"
"14.06.2022 00:00 - 14.06.2022 00:15","8612","8613"
"14.06.2022 00:15 - 14.06.2022 00:30","8516","8455"
"14.06.2022 00:30 - 14.06.2022 00:45","8430","8349"
"14.06.2022 00:45 - 14.06.2022 01:00","8337","8237"
"14.06.2022 01:00 - 14.06.2022 01:15","8205","8373"
"14.06.2022 01:15 - 14.06.2022 01:30","8189","8212"
"14.06.2022 01:30 - 14.06.2022 01:45","8081","8066"
"14.06.2022 01:45 - 14.06.2022 02:00","7976","8038"
"14.06.2022 02:00 - 14.06.2022 02:15","7878","7975"
"14.06.2022 02:15 - 14.06.2022 02:30","7780","7850"
"14.06.2022 02:30 - 14.06.2022 02:45","7735","7972"
"14.06.2022 02:45 - 14.06.2022 03:00","7717","7855"
"14.06.2022 03:00 - 14.06.2022 03:15","7671","7774"
"14.06.2022 03:15 - 14.06.2022 03:30","7645","7871"
"14.06.2022 03:30 - 14.06.2022 03:45","7640","7861"
"14.06.2022 03:45 - 14.06.2022 04:00","7612","7957"
"14.06.2022 04:00 - 14.06.2022 04:15","7680","7971"
"14.06.2022 04:15 - 14.06.2022 04:30","7713","7882"
"14.06.2022 04:30 - 14.06.2022 04:45","7768","8007"
"14.06.2022 04:45 - 14.06.2022 05:00","7808","8106"
"14.06.2022 05:00 - 14.06.2022 05:15","7919","7974"
"14.06.2022 05:15 - 14.06.2022 05:30","7947","8205"
"14.06.2022 05:30 - 14.06.2022 05:45","7961","8261"
"14.06.2022 05:45 - 14.06.2022 06:00","8080","8233"
"14.06.2022 06:00 - 14.06.2022 06:15","8346","8471"
"14.06.2022 06:15 - 14.06.2022 06:30","8576","8828"
"14.06.2022 06:30 - 14.06.2022 06:45","8781","8954"
"14.06.2022 06:45 - 14.06.2022 07:00","8967","9137"
"14.06.2022 07:00 - 14.06.2022 07:15","9185","9368"
"14.06.2022 07:15 - 14.06.2022 07:30","9355","9566"
"14.06.2022 07:30 - 14.06.2022 07:45","9558","9815"
"14.06.2022 07:45 - 14.06.2022 08:00","9662","9721"
"14.06.2022 08:00 - 14.06.2022 08:15","9744","9862"
"14.06.2022 08:15 - 14.06.2022 08:30","9858","9989"
"14.06.2022 08:30 - 14.06.2022 08:45","10006","10177"
"14.06.2022 08:45 - 14.06.2022 09:00","10075","10266"
"14.06.2022 09:00 - 14.06.2022 09:15","10092","10442"
"14.06.2022 09:15 - 14.06.2022 09:30","10181","10474"
"14.06.2022 09:30 - 14.06.2022 09:45","10241","10357"
"14.06.2022 09:45 - 14.06.2022 10:00","10283","10458"
"14.06.2022 10:00 - 14.06.2022 10:15","10287","10429"
"14.06.2022 10:15 - 14.06.2022 10:30","10244","10401"
"14.06.2022 10:30 - 14.06.2022 10:45","10298","10482"
"14.06.2022 10:45 - 14.06.2022 11:00","10362","10418"
"14.06.2022 11:00 - 14.06.2022 11:15","10372","10346"
"14.06.2022 11:15 - 14.06.2022 11:30","10406","10322"
"14.06.2022 11:30 - 14.06.2022 11:45","10478","10416"
"14.06.2022 11:45 - 14.06.2022 12:00","10540","10428"
"14.06.2022 12:00 - 14.06.2022 12:15","10412","10351"
"14.06.2022 12:15 - 14.06.2022 12:30","10340","10146"
"14.06.2022 12:30 - 14.06.2022 12:45","10329","10169"
"14.06.2022 12:45 - 14.06.2022 13:00","10267","10138"
"14.06.2022 13:00 - 14.06.2022 13:15","10353","10321"
"14.06.2022 13:15 - 14.06.2022 13:30","10319","10190"
"14.06.2022 13:30 - 14.06.2022 13:45","10330","10290"
"14.06.2022 13:45 - 14.06.2022 14:00","10182","10126"
"14.06.2022 14:00 - 14.06.2022 14:15","10247","10185"
"14.06.2022 14:15 - 14.06.2022 14:30","10189","10099"
"14.06.2022 14:30 - 14.06.2022 14:45","10161","10032"
"14.06.2022 14:45 - 14.06.2022 15:00","10124","10051"
"14.06.2022 15:00 - 14.06.2022 15:15","10126","10055"
"14.06.2022 15:15 - 14.06.2022 15:30","10108","9943"
"14.06.2022 15:30 - 14.06.2022 15:45","10018","9943"
"14.06.2022 15:45 - 14.06.2022 16:00","9996","9902"
"14.06.2022 16:00 - 14.06.2022 16:15","9992","9862"
"14.06.2022 16:15 - 14.06.2022 16:30","9969","9883"
"14.06.2022 16:30 - 14.06.2022 16:45","9904","9941"
"14.06.2022 16:45 - 14.06.2022 17:00","9986","10042"
"14.06.2022 17:00 - 14.06.2022 17:15","10053","9953"
"14.06.2022 17:15 - 14.06.2022 17:30","10118","10045"
"14.06.2022 17:30 - 14.06.2022 17:45","10145","10201"
"14.06.2022 17:45 - 14.06.2022 18:00","10150","10180"
"14.06.2022 18:00 - 14.06.2022 18:15","10191","10209"
"14.06.2022 18:15 - 14.06.2022 18:30","10217","10315"
"14.06.2022 18:30 - 14.06.2022 18:45","10192","10086"
"14.06.2022 18:45 - 14.06.2022 19:00","10134","10141"
"14.06.2022 19:00 - 14.06.2022 19:15","9988","10038"
"14.06.2022 19:15 - 14.06.2022 19:30","9928","9890"
"14.06.2022 19:30 - 14.06.2022 19:45","9866","9787"
"14.06.2022 19:45 - 14.06.2022 20:00","9803","9734"
"14.06.2022 20:00 - 14.06.2022 20:15","9680","9639"
"14.06.2022 20:15 - 14.06.2022 20:30","9579","9393"
"14.06.2022 20:30 - 14.06.2022 20:45","9528","9419"
"14.06.2022 20:45 - 14.06.2022 21:00","9482","9377"
"14.06.2022 21:00 - 14.06.2022 21:15","9331","9391"
"14.06.2022 21:15 - 14.06.2022 21:30","9295","9283"
"14.06.2022 21:30 - 14.06.2022 21:45","9249","9317"
"14.06.2022 21:45 - 14.06.2022 22:00","9212","9261"
"14.06.2022 22:00 - 14.06.2022 22:15","9328","9298"
"14.06.2022 22:15 - 14.06.2022 22:30","9368","9341"
"14.06.2022 22:30 - 14.06.2022 22:45","9392","9361"
"14.06.2022 22:45 - 14.06.2022 23:00","9271","9298"
"14.06.2022 23:00 - 14.06.2022 23:15","9181","9172"
"14.06.2022 23:15 - 14.06.2022 23:30","9027","9028"
"14.06.2022 23:30 - 14.06.2022 23:45","8861","8903"
"14.06.2022 23:45 - 15.06.2022 00:00","8743","8698"
"15.06.2022 00:00 - 15.06.2022 00:15","8760","8473"
"15.06.2022 00:15 - 15.06.2022 00:30","8583","8490"
"15.06.2022 00:30 - 15.06.2022 00:45","8465","8367"
"15.06.2022 00:45 - 15.06.2022 01:00","8379","8328"
"15.06.2022 01:00 - 15.06.2022 01:15","8224","8113"
"15.06.2022 01:15 - 15.06.2022 01:30","8121","8090"
"15.06.2022 01:30 - 15.06.2022 01:45","8074","8063"
"15.06.2022 01:45 - 15.06.2022 02:00","8005","7937"
"15.06.2022 02:00 - 15.06.2022 02:15","8080","8001"
"15.06.2022 02:15 - 15.06.2022 02:30","7978","7914"
"15.06.2022 02:30 - 15.06.2022 02:45","7930","7811"
"15.06.2022 02:45 - 15.06.2022 03:00","7907","7800"
"15.06.2022 03:00 - 15.06.2022 03:15","7951","7822"
"15.06.2022 03:15 - 15.06.2022 03:30","7928","7808"
"15.06.2022 03:30 - 15.06.2022 03:45","7924","7717"
"15.06.2022 03:45 - 15.06.2022 04:00","7900","7664"
"15.06.2022 04:00 - 15.06.2022 04:15","7934","7678"
"15.06.2022 04:15 - 15.06.2022 04:30","7967","7690"
"15.06.2022 04:30 - 15.06.2022 04:45","8025","7836"
"15.06.2022 04:45 - 15.06.2022 05:00","8071","7887"
"15.06.2022 05:00 - 15.06.2022 05:15","8120","7952"
"15.06.2022 05:15 - 15.06.2022 05:30","8150","8013"
"15.06.2022 05:30 - 15.06.2022 05:45","8158","7935"
"15.06.2022 05:45 - 15.06.2022 06:00","8277","8103"
"15.06.2022 06:00 - 15.06.2022 06:15","8540","8361"
"15.06.2022 06:15 - 15.06.2022 06:30","8777","8539"
"15.06.2022 06:30 - 15.06.2022 06:45","8992","8798"
"15.06.2022 06:45 - 15.06.2022 07:00","9184","8966"
"15.06.2022 07:00 - 15.06.2022 07:15","9529","9280"
"15.06.2022 07:15 - 15.06.2022 07:30","9705","9519"
"15.06.2022 07:30 - 15.06.2022 07:45","9914","9708"
"15.06.2022 07:45 - 15.06.2022 08:00","10022","9848"
"15.06.2022 08:00 - 15.06.2022 08:15","10133","10008"
"15.06.2022 08:15 - 15.06.2022 08:30","10245","10056"
"15.06.2022 08:30 - 15.06.2022 08:45","10397","10238"
"15.06.2022 08:45 - 15.06.2022 09:00","10469","10404"
"15.06.2022 09:00 - 15.06.2022 09:15","10472","10442"
"15.06.2022 09:15 - 15.06.2022 09:30","10562","10501"
"15.06.2022 09:30 - 15.06.2022 09:45","10622","10552"
"15.06.2022 09:45 - 15.06.2022 10:00","10660","10619"
"15.06.2022 10:00 - 15.06.2022 10:15","10683","10633"
"15.06.2022 10:15 - 15.06.2022 10:30","10633","10586"
"15.06.2022 10:30 - 15.06.2022 10:45","10686","10500"
"15.06.2022 10:45 - 15.06.2022 11:00","10754","10526"
"15.06.2022 11:00 - 15.06.2022 11:15","10750","10616"
"15.06.2022 11:15 - 15.06.2022 11:30","10784","10614"
"15.06.2022 11:30 - 15.06.2022 11:45","10857","10744"
"15.06.2022 11:45 - 15.06.2022 12:00","10918","10755"
"15.06.2022 12:00 - 15.06.2022 12:15","10945","10596"
"15.06.2022 12:15 - 15.06.2022 12:30","10866","10534"
"15.06.2022 12:30 - 15.06.2022 12:45","10853","10502"
"15.06.2022 12:45 - 15.06.2022 13:00","10786","10530"
"15.06.2022 13:00 - 15.06.2022 13:15","10873","10567"
"15.06.2022 13:15 - 15.06.2022 13:30","10836","10567"
"15.06.2022 13:30 - 15.06.2022 13:45","10852","10506"
"15.06.2022 13:45 - 15.06.2022 14:00","10698","10490"
"15.06.2022 14:00 - 15.06.2022 14:15","10659","10465"
"15.06.2022 14:15 - 15.06.2022 14:30","10602","10387"
"15.06.2022 14:30 - 15.06.2022 14:45","10575","10339"
"15.06.2022 14:45 - 15.06.2022 15:00","10534","10361"
"15.06.2022 15:00 - 15.06.2022 15:15","10514","10283"
"15.06.2022 15:15 - 15.06.2022 15:30","10508","10305"
"15.06.2022 15:30 - 15.06.2022 15:45","10427","10309"
"15.06.2022 15:45 - 15.06.2022 16:00","10408","10358"
"15.06.2022 16:00 - 15.06.2022 16:15","10420","10222"
"15.06.2022 16:15 - 15.06.2022 16:30","10399","10164"
"15.06.2022 16:30 - 15.06.2022 16:45","10336","10179"
"15.06.2022 16:45 - 15.06.2022 17:00","10421","10281"
"15.06.2022 17:00 - 15.06.2022 17:15","10453","10357"
"15.06.2022 17:15 - 15.06.2022 17:30","10519","10332"
"15.06.2022 17:30 - 15.06.2022 17:45","10549","10373"
"15.06.2022 17:45 - 15.06.2022 18:00","10555","10508"
"15.06.2022 18:00 - 15.06.2022 18:15","10449","10416"
"15.06.2022 18:15 - 15.06.2022 18:30","10473","10328"
"15.06.2022 18:30 - 15.06.2022 18:45","10450","10465"
"15.06.2022 18:45 - 15.06.2022 19:00","10392","10291"
"15.06.2022 19:00 - 15.06.2022 19:15","10211","10272"
"15.06.2022 19:15 - 15.06.2022 19:30","10139","10154"
"15.06.2022 19:30 - 15.06.2022 19:45","10062","10019"
"15.06.2022 19:45 - 15.06.2022 20:00","10001","9864"
"15.06.2022 20:00 - 15.06.2022 20:15","9926","9866"
"15.06.2022 20:15 - 15.06.2022 20:30","9825","9774"
"15.06.2022 20:30 - 15.06.2022 20:45","9766","9697"
"15.06.2022 20:45 - 15.06.2022 21:00","9716","9668"
"15.06.2022 21:00 - 15.06.2022 21:15","9567","9586"
"15.06.2022 21:15 - 15.06.2022 21:30","9528","9573"
"15.06.2022 21:30 - 15.06.2022 21:45","9478","9592"
"15.06.2022 21:45 - 15.06.2022 22:00","9446","9433"
"15.06.2022 22:00 - 15.06.2022 22:15","9476","9514"
"15.06.2022 22:15 - 15.06.2022 22:30","9520","9637"
"15.06.2022 22:30 - 15.06.2022 22:45","9548","9579"
"15.06.2022 22:45 - 15.06.2022 23:00","9425","9369"
"15.06.2022 23:00 - 15.06.2022 23:15","9299","9403"
"15.06.2022 23:15 - 15.06.2022 23:30","9148","9187"
"15.06.2022 23:30 - 15.06.2022 23:45","8975","9173"
"15.06.2022 23:45 - 16.06.2022 00:00","8842","8877"
"16.06.2022 00:00 - 16.06.2022 00:15","8719","8877"
"16.06.2022 00:15 - 16.06.2022 00:30","8574","8682"
"16.06.2022 00:30 - 16.06.2022 00:45","8455","8586"
"16.06.2022 00:45 - 16.06.2022 01:00","8372","8480"
"16.06.2022 01:00 - 16.06.2022 01:15","8307","8338"
"16.06.2022 01:15 - 16.06.2022 01:30","8215","8392"
"16.06.2022 01:30 - 16.06.2022 01:45","8175","8173"
"16.06.2022 01:45 - 16.06.2022 02:00","8102","8105"
"16.06.2022 02:00 - 16.06.2022 02:15","8096","8055"
"16.06.2022 02:15 - 16.06.2022 02:30","7996","7877"
"16.06.2022 02:30 - 16.06.2022 02:45","7964","7932"
"16.06.2022 02:45 - 16.06.2022 03:00","7916","8063"
"16.06.2022 03:00 - 16.06.2022 03:15","7809","7951"
"16.06.2022 03:15 - 16.06.2022 03:30","7810","8016"
"16.06.2022 03:30 - 16.06.2022 03:45","7813","7927"
"16.06.2022 03:45 - 16.06.2022 04:00","7804","7972"
"16.06.2022 04:00 - 16.06.2022 04:15","7769","7951"
"16.06.2022 04:15 - 16.06.2022 04:30","7786","7949"
"16.06.2022 04:30 - 16.06.2022 04:45","7852","8017"
"16.06.2022 04:45 - 16.06.2022 05:00","7902","8003"
"16.06.2022 05:00 - 16.06.2022 05:15","7996","8090"
"16.06.2022 05:15 - 16.06.2022 05:30","8052","8035"
"16.06.2022 05:30 - 16.06.2022 05:45","8070","8077"
"16.06.2022 05:45 - 16.06.2022 06:00","8172","8224"
"16.06.2022 06:00 - 16.06.2022 06:15","8517","8625"
"16.06.2022 06:15 - 16.06.2022 06:30","8766","8801"
"16.06.2022 06:30 - 16.06.2022 06:45","8969","9070"
"16.06.2022 06:45 - 16.06.2022 07:00","9160","9221"
"16.06.2022 07:00 - 16.06.2022 07:15","9413","9479"
"16.06.2022 07:15 - 16.06.2022 07:30","9588","9579"
"16.06.2022 07:30 - 16.06.2022 07:45","9797","9872"
"16.06.2022 07:45 - 16.06.2022 08:00","9879","9974"
"16.06.2022 08:00 - 16.06.2022 08:15","10020","9965"
"16.06.2022 08:15 - 16.06.2022 08:30","10131","10108"
"16.06.2022 08:30 - 16.06.2022 08:45","10286","10289"
"16.06.2022 08:45 - 16.06.2022 09:00","10361","10422"
"16.06.2022 09:00 - 16.06.2022 09:15","10457","10493"
"16.06.2022 09:15 - 16.06.2022 09:30","10536","10592"
"16.06.2022 09:30 - 16.06.2022 09:45","10571","10583"
"16.06.2022 09:45 - 16.06.2022 10:00","10611","10651"
"16.06.2022 10:00 - 16.06.2022 10:15","10567","10648"
"16.06.2022 10:15 - 16.06.2022 10:30","10518","10722"
"16.06.2022 10:30 - 16.06.2022 10:45","10580","10625"
"16.06.2022 10:45 - 16.06.2022 11:00","10636","10739"
"16.06.2022 11:00 - 16.06.2022 11:15","10697","10744"
"16.06.2022 11:15 - 16.06.2022 11:30","10721","10813"
"16.06.2022 11:30 - 16.06.2022 11:45","10794","10789"
"16.06.2022 11:45 - 16.06.2022 12:00","10848","10863"
"16.06.2022 12:00 - 16.06.2022 12:15","10659","10699"
"16.06.2022 12:15 - 16.06.2022 12:30","10564","10636"
"16.06.2022 12:30 - 16.06.2022 12:45","10553","10605"
"16.06.2022 12:45 - 16.06.2022 13:00","10486","10542"
"16.06.2022 13:00 - 16.06.2022 13:15","10431","10616"
"16.06.2022 13:15 - 16.06.2022 13:30","10390","10651"
"16.06.2022 13:30 - 16.06.2022 13:45","10417","10591"
"16.06.2022 13:45 - 16.06.2022 14:00","10270","10474"
"16.06.2022 14:00 - 16.06.2022 14:15","10349","10445"
"16.06.2022 14:15 - 16.06.2022 14:30","10288","10352"
"16.06.2022 14:30 - 16.06.2022 14:45","10257","10437"
