"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Lithuania (LT)","Generation - Solar  [MW] Intraday / Lithuania (LT)","Generation - Solar  [MW] Current / Lithuania (LT)","Generation - Wind Offshore  [MW] Day Ahead/ Lithuania (LT)","Generation - Wind Offshore  [MW] Intraday / Lithuania (LT)","Generation - Wind Offshore  [MW] Current / Lithuania (LT)","Generation - Wind Onshore  [MW] Day Ahead/ Lithuania (LT)","Generation - Wind Onshore  [MW] Intraday / Lithuania (LT)","Generation - Wind Onshore  [MW] Current / Lithuania (LT)"
"10.01.2022 04:00 - 10.01.2022 05:00","0","0","0","n/e","n/e","n/e","12","8","10"
"10.01.2022 05:00 - 10.01.2022 06:00","0","0","0","n/e","n/e","n/e","14","9","9"
"10.01.2022 06:00 - 10.01.2022 07:00","0","0","0","n/e","n/e","n/e","14","9","5"
"10.01.2022 07:00 - 10.01.2022 08:00","0","0","0","n/e","n/e","n/e","15","12","5"
"10.01.2022 08:00 - 10.01.2022 09:00","4","13","13","n/e","n/e","n/e","16","14","7"
"10.01.2022 09:00 - 10.01.2022 10:00","10","34","32","n/e","n/e","n/e","16","23","16"
"10.01.2022 10:00 - 10.01.2022 11:00","15","45","43","n/e","n/e","n/e","19","33","30"
"10.01.2022 11:00 - 10.01.2022 12:00","18","44","42","n/e","n/e","n/e","18","25","25"
"10.01.2022 12:00 - 10.01.2022 13:00","16","36","34","n/e","n/e","n/e","17","16","15"
"10.01.2022 13:00 - 10.01.2022 14:00","10","24","23","n/e","n/e","n/e","20","16","15"
"10.01.2022 14:00 - 10.01.2022 15:00","4","8","8","n/e","n/e","n/e","27","22","21"
"10.01.2022 15:00 - 10.01.2022 16:00","0","0","0","n/e","n/e","n/e","36","29","29"
"10.01.2022 16:00 - 10.01.2022 17:00","0","0","0","n/e","n/e","n/e","52","34","34"
"10.01.2022 17:00 - 10.01.2022 18:00","0","0","0","n/e","n/e","n/e","56","37","36"
"10.01.2022 18:00 - 10.01.2022 19:00","0","0","0","n/e","n/e","n/e","60","41","38"
"10.01.2022 19:00 - 10.01.2022 20:00","0","0","0","n/e","n/e","n/e","62","39","34"
"10.01.2022 20:00 - 10.01.2022 21:00","0","0","0","n/e","n/e","n/e","61","39","33"
"10.01.2022 21:00 - 10.01.2022 22:00","0","0","0","n/e","n/e","n/e","63","37","31"
"10.01.2022 22:00 - 10.01.2022 23:00","0","0","0","n/e","n/e","n/e","61","26","22"
"10.01.2022 23:00 - 11.01.2022 00:00","0","0","0","n/e","n/e","n/e","60","27","20"
"11.01.2022 00:00 - 11.01.2022 01:00","0","0","0","n/e","n/e","n/e","28","23","23"
"11.01.2022 01:00 - 11.01.2022 02:00","0","0","0","n/e","n/e","n/e","27","27","27"
"11.01.2022 02:00 - 11.01.2022 03:00","0","0","0","n/e","n/e","n/e","27","30","27"
"11.01.2022 03:00 - 11.01.2022 04:00","0","0","0","n/e","n/e","n/e","28","27","16"
"11.01.2022 04:00 - 11.01.2022 05:00","0","0","0","n/e","n/e","n/e","29","16","14"
"11.01.2022 05:00 - 11.01.2022 06:00","0","0","0","n/e","n/e","n/e","25","14","20"
"11.01.2022 06:00 - 11.01.2022 07:00","0","0","0","n/e","n/e","n/e","21","20","27"
"11.01.2022 07:00 - 11.01.2022 08:00","0","3","3","n/e","n/e","n/e","19","23","23"
"11.01.2022 08:00 - 11.01.2022 09:00","10","87","87","n/e","n/e","n/e","16","19","15"
"11.01.2022 09:00 - 11.01.2022 10:00","28","137","128","n/e","n/e","n/e","14","13","11"
"11.01.2022 10:00 - 11.01.2022 11:00","40","156","147","n/e","n/e","n/e","9","7","6"
