"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Luxembourg (LU)","Actual Total Load [MW] - Luxembourg (LU)"
"03.01.2022 19:00 - 03.01.2022 19:15","462","678"
"03.01.2022 19:15 - 03.01.2022 19:30","448","670"
"03.01.2022 19:30 - 03.01.2022 19:45","442","659"
"03.01.2022 19:45 - 03.01.2022 20:00","431","650"
"03.01.2022 20:00 - 03.01.2022 20:15","432","634"
"03.01.2022 20:15 - 03.01.2022 20:30","424","619"
"03.01.2022 20:30 - 03.01.2022 20:45","412","607"
"03.01.2022 20:45 - 03.01.2022 21:00","401","597"
"03.01.2022 21:00 - 03.01.2022 21:15","451","584"
"03.01.2022 21:15 - 03.01.2022 21:30","447","575"
"03.01.2022 21:30 - 03.01.2022 21:45","439","566"
"03.01.2022 21:45 - 03.01.2022 22:00","431","548"
"03.01.2022 22:00 - 03.01.2022 22:15","433","553"
"03.01.2022 22:15 - 03.01.2022 22:30","426","553"
"03.01.2022 22:30 - 03.01.2022 22:45","418","542"
"03.01.2022 22:45 - 03.01.2022 23:00","414","531"
"03.01.2022 23:00 - 03.01.2022 23:15","416","521"
"03.01.2022 23:15 - 03.01.2022 23:30","408","514"
"03.01.2022 23:30 - 03.01.2022 23:45","401","511"
"03.01.2022 23:45 - 04.01.2022 00:00","392","500"
"04.01.2022 00:00 - 04.01.2022 00:15","383","491"
"04.01.2022 00:15 - 04.01.2022 00:30","379","479"
"04.01.2022 00:30 - 04.01.2022 00:45","376","473"
"04.01.2022 00:45 - 04.01.2022 01:00","372","467"
"04.01.2022 01:00 - 04.01.2022 01:15","364","467"
"04.01.2022 01:15 - 04.01.2022 01:30","359","463"
"04.01.2022 01:30 - 04.01.2022 01:45","356","461"
"04.01.2022 01:45 - 04.01.2022 02:00","352","460"
"04.01.2022 02:00 - 04.01.2022 02:15","367","457"
"04.01.2022 02:15 - 04.01.2022 02:30","366","456"
"04.01.2022 02:30 - 04.01.2022 02:45","365","453"
"04.01.2022 02:45 - 04.01.2022 03:00","363","451"
"04.01.2022 03:00 - 04.01.2022 03:15","367","451"
"04.01.2022 03:15 - 04.01.2022 03:30","371","451"
"04.01.2022 03:30 - 04.01.2022 03:45","375","453"
"04.01.2022 03:45 - 04.01.2022 04:00","381","452"
"04.01.2022 04:00 - 04.01.2022 04:15","394","455"
"04.01.2022 04:15 - 04.01.2022 04:30","403","458"
"04.01.2022 04:30 - 04.01.2022 04:45","410","462"
"04.01.2022 04:45 - 04.01.2022 05:00","422","466"
"04.01.2022 05:00 - 04.01.2022 05:15","433","480"
"04.01.2022 05:15 - 04.01.2022 05:30","436","483"
"04.01.2022 05:30 - 04.01.2022 05:45","453","496"
"04.01.2022 05:45 - 04.01.2022 06:00","471","512"
"04.01.2022 06:00 - 04.01.2022 06:15","494","537"
"04.01.2022 06:15 - 04.01.2022 06:30","514","551"
"04.01.2022 06:30 - 04.01.2022 06:45","524","568"
"04.01.2022 06:45 - 04.01.2022 07:00","533","586"
"04.01.2022 07:00 - 04.01.2022 07:15","541","609"
"04.01.2022 07:15 - 04.01.2022 07:30","548","623"
"04.01.2022 07:30 - 04.01.2022 07:45","552","636"
"04.01.2022 07:45 - 04.01.2022 08:00","552","651"
"04.01.2022 08:00 - 04.01.2022 08:15","553","672"
"04.01.2022 08:15 - 04.01.2022 08:30","557","682"
"04.01.2022 08:30 - 04.01.2022 08:45","556","689"
"04.01.2022 08:45 - 04.01.2022 09:00","562","689"
"04.01.2022 09:00 - 04.01.2022 09:15","571","691"
"04.01.2022 09:15 - 04.01.2022 09:30","570","693"
"04.01.2022 09:30 - 04.01.2022 09:45","570","694"
"04.01.2022 09:45 - 04.01.2022 10:00","572","699"
"04.01.2022 10:00 - 04.01.2022 10:15","571","700"
"04.01.2022 10:15 - 04.01.2022 10:30","574","705"
"04.01.2022 10:30 - 04.01.2022 10:45","578","704"
"04.01.2022 10:45 - 04.01.2022 11:00","588","709"
"04.01.2022 11:00 - 04.01.2022 11:15","584","709"
"04.01.2022 11:15 - 04.01.2022 11:30","579","716"
"04.01.2022 11:30 - 04.01.2022 11:45","574","721"
"04.01.2022 11:45 - 04.01.2022 12:00","574","730"
"04.01.2022 12:00 - 04.01.2022 12:15","565","730"
"04.01.2022 12:15 - 04.01.2022 12:30","562","726"
"04.01.2022 12:30 - 04.01.2022 12:45","560","718"
"04.01.2022 12:45 - 04.01.2022 13:00","555","713"
"04.01.2022 13:00 - 04.01.2022 13:15","540","710"
"04.01.2022 13:15 - 04.01.2022 13:30","539","706"
"04.01.2022 13:30 - 04.01.2022 13:45","540","700"
"04.01.2022 13:45 - 04.01.2022 14:00","542","694"
"04.01.2022 14:00 - 04.01.2022 14:15","538","692"
"04.01.2022 14:15 - 04.01.2022 14:30","536","690"
"04.01.2022 14:30 - 04.01.2022 14:45","532","684"
"04.01.2022 14:45 - 04.01.2022 15:00","535","681"
"04.01.2022 15:00 - 04.01.2022 15:15","538","677"
"04.01.2022 15:15 - 04.01.2022 15:30","543","671"
"04.01.2022 15:30 - 04.01.2022 15:45","546","669"
"04.01.2022 15:45 - 04.01.2022 16:00","552","668"
"04.01.2022 16:00 - 04.01.2022 16:15","559","670"
"04.01.2022 16:15 - 04.01.2022 16:30","561","669"
"04.01.2022 16:30 - 04.01.2022 16:45","568","670"
"04.01.2022 16:45 - 04.01.2022 17:00","572","683"
"04.01.2022 17:00 - 04.01.2022 17:15","568","694"
"04.01.2022 17:15 - 04.01.2022 17:30","570","696"
"04.01.2022 17:30 - 04.01.2022 17:45","569","702"
"04.01.2022 17:45 - 04.01.2022 18:00","564","710"
"04.01.2022 18:00 - 04.01.2022 18:15","542","712"
"04.01.2022 18:15 - 04.01.2022 18:30","532","710"
"04.01.2022 18:30 - 04.01.2022 18:45","522","708"
"04.01.2022 18:45 - 04.01.2022 19:00","516","711"
"04.01.2022 19:00 - 04.01.2022 19:15","516","699"
"04.01.2022 19:15 - 04.01.2022 19:30","504","690"
"04.01.2022 19:30 - 04.01.2022 19:45","490","680"
"04.01.2022 19:45 - 04.01.2022 20:00","477","671"
"04.01.2022 20:00 - 04.01.2022 20:15","466","660"
"04.01.2022 20:15 - 04.01.2022 20:30","457","648"
"04.01.2022 20:30 - 04.01.2022 20:45","450","634"
"04.01.2022 20:45 - 04.01.2022 21:00","442","626"
"04.01.2022 21:00 - 04.01.2022 21:15","480","615"
"04.01.2022 21:15 - 04.01.2022 21:30","483","604"
"04.01.2022 21:30 - 04.01.2022 21:45","476","592"
"04.01.2022 21:45 - 04.01.2022 22:00","466","580"
"04.01.2022 22:00 - 04.01.2022 22:15","452","588"
"04.01.2022 22:15 - 04.01.2022 22:30","445","586"
"04.01.2022 22:30 - 04.01.2022 22:45","438","576"
"04.01.2022 22:45 - 04.01.2022 23:00","434","565"
"04.01.2022 23:00 - 04.01.2022 23:15","397","554"
"04.01.2022 23:15 - 04.01.2022 23:30","389","547"
"04.01.2022 23:30 - 04.01.2022 23:45","383","534"
"04.01.2022 23:45 - 05.01.2022 00:00","377","527"
"05.01.2022 00:00 - 05.01.2022 00:15","360","517"
"05.01.2022 00:15 - 05.01.2022 00:30","355","508"
"05.01.2022 00:30 - 05.01.2022 00:45","351","502"
"05.01.2022 00:45 - 05.01.2022 01:00","348","494"
"05.01.2022 01:00 - 05.01.2022 01:15","339","498"
"05.01.2022 01:15 - 05.01.2022 01:30","335","498"
"05.01.2022 01:30 - 05.01.2022 01:45","333","498"
"05.01.2022 01:45 - 05.01.2022 02:00","332","498"
"05.01.2022 02:00 - 05.01.2022 02:15","333","496"
"05.01.2022 02:15 - 05.01.2022 02:30","332","491"
"05.01.2022 02:30 - 05.01.2022 02:45","332","489"
"05.01.2022 02:45 - 05.01.2022 03:00","333","491"
"05.01.2022 03:00 - 05.01.2022 03:15","338","491"
"05.01.2022 03:15 - 05.01.2022 03:30","341","492"
"05.01.2022 03:30 - 05.01.2022 03:45","345","490"
"05.01.2022 03:45 - 05.01.2022 04:00","350","494"
"05.01.2022 04:00 - 05.01.2022 04:15","363","493"
"05.01.2022 04:15 - 05.01.2022 04:30","373","496"
"05.01.2022 04:30 - 05.01.2022 04:45","385","501"
"05.01.2022 04:45 - 05.01.2022 05:00","398","507"
"05.01.2022 05:00 - 05.01.2022 05:15","403","519"
"05.01.2022 05:15 - 05.01.2022 05:30","406","528"
"05.01.2022 05:30 - 05.01.2022 05:45","413","537"
"05.01.2022 05:45 - 05.01.2022 06:00","434","555"
"05.01.2022 06:00 - 05.01.2022 06:15","463","570"
"05.01.2022 06:15 - 05.01.2022 06:30","480","590"
"05.01.2022 06:30 - 05.01.2022 06:45","489","608"
"05.01.2022 06:45 - 05.01.2022 07:00","497","630"
"05.01.2022 07:00 - 05.01.2022 07:15","508","649"
"05.01.2022 07:15 - 05.01.2022 07:30","518","669"
"05.01.2022 07:30 - 05.01.2022 07:45","521","686"
"05.01.2022 07:45 - 05.01.2022 08:00","526","694"
"05.01.2022 08:00 - 05.01.2022 08:15","524","713"
"05.01.2022 08:15 - 05.01.2022 08:30","523","716"
"05.01.2022 08:30 - 05.01.2022 08:45","522","716"
"05.01.2022 08:45 - 05.01.2022 09:00","523","724"
"05.01.2022 09:00 - 05.01.2022 09:15","524","731"
"05.01.2022 09:15 - 05.01.2022 09:30","524","730"
"05.01.2022 09:30 - 05.01.2022 09:45","523","730"
"05.01.2022 09:45 - 05.01.2022 10:00","523","730"
"05.01.2022 10:00 - 05.01.2022 10:15","526","735"
"05.01.2022 10:15 - 05.01.2022 10:30","525","738"
"05.01.2022 10:30 - 05.01.2022 10:45","530","734"
"05.01.2022 10:45 - 05.01.2022 11:00","536","737"
"05.01.2022 11:00 - 05.01.2022 11:15","533","743"
"05.01.2022 11:15 - 05.01.2022 11:30","526","750"
"05.01.2022 11:30 - 05.01.2022 11:45","519","754"
"05.01.2022 11:45 - 05.01.2022 12:00","514","761"
"05.01.2022 12:00 - 05.01.2022 12:15","510","762"
"05.01.2022 12:15 - 05.01.2022 12:30","512","754"
"05.01.2022 12:30 - 05.01.2022 12:45","512","744"
"05.01.2022 12:45 - 05.01.2022 13:00","509","744"
"05.01.2022 13:00 - 05.01.2022 13:15","505","743"
"05.01.2022 13:15 - 05.01.2022 13:30","505","742"
"05.01.2022 13:30 - 05.01.2022 13:45","504","735"
"05.01.2022 13:45 - 05.01.2022 14:00","501","728"
"05.01.2022 14:00 - 05.01.2022 14:15","492","724"
"05.01.2022 14:15 - 05.01.2022 14:30","489","719"
"05.01.2022 14:30 - 05.01.2022 14:45","487","711"
"05.01.2022 14:45 - 05.01.2022 15:00","486","705"
"05.01.2022 15:00 - 05.01.2022 15:15","489","701"
"05.01.2022 15:15 - 05.01.2022 15:30","496","700"
"05.01.2022 15:30 - 05.01.2022 15:45","505","696"
"05.01.2022 15:45 - 05.01.2022 16:00","517","693"
"05.01.2022 16:00 - 05.01.2022 16:15","534","690"
"05.01.2022 16:15 - 05.01.2022 16:30","539","696"
"05.01.2022 16:30 - 05.01.2022 16:45","545","699"
"05.01.2022 16:45 - 05.01.2022 17:00","550","710"
"05.01.2022 17:00 - 05.01.2022 17:15","554","730"
"05.01.2022 17:15 - 05.01.2022 17:30","554","736"
"05.01.2022 17:30 - 05.01.2022 17:45","555","739"
