"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Spain (ES)","Generation - Solar  [MW] Intraday / Spain (ES)","Generation - Solar  [MW] Current / Spain (ES)","Generation - Wind Offshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Offshore  [MW] Intraday / Spain (ES)","Generation - Wind Offshore  [MW] Current / Spain (ES)","Generation - Wind Onshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Onshore  [MW] Intraday / Spain (ES)","Generation - Wind Onshore  [MW] Current / Spain (ES)"
"09.01.2022 12:00 - 09.01.2022 13:00","6439","6740","6384","n/e","n/e","n/e","15551","16015","15046"
"09.01.2022 13:00 - 09.01.2022 14:00","6751","6931","6570","n/e","n/e","n/e","16016","16291","16056"
"09.01.2022 14:00 - 09.01.2022 15:00","6549","6745","6487","n/e","n/e","n/e","16353","16515","16614"
"09.01.2022 15:00 - 09.01.2022 16:00","6097","6282","6150","n/e","n/e","n/e","16456","16596","16950"
"09.01.2022 16:00 - 09.01.2022 17:00","4462","4552","4333","n/e","n/e","n/e","16382","16523","17065"
"09.01.2022 17:00 - 09.01.2022 18:00","1984","1936","1803","n/e","n/e","n/e","16403","16538","17237"
"09.01.2022 18:00 - 09.01.2022 19:00","224","199","240","n/e","n/e","n/e","16444","16539","17021"
"09.01.2022 19:00 - 09.01.2022 20:00","37","44","69","n/e","n/e","n/e","16359","16275","16814"
"09.01.2022 20:00 - 09.01.2022 21:00","32","46","33","n/e","n/e","n/e","16179","16025","16567"
"09.01.2022 21:00 - 09.01.2022 22:00","23","44","33","n/e","n/e","n/e","16008","15789","16505"
"09.01.2022 22:00 - 09.01.2022 23:00","20","34","19","n/e","n/e","n/e","15777","15426","16230"
"09.01.2022 23:00 - 10.01.2022 00:00","18","24","11","n/e","n/e","n/e","15524","15250","16318"
"10.01.2022 00:00 - 10.01.2022 01:00","22","16","16","n/e","n/e","n/e","15333","15882","15882"
"10.01.2022 01:00 - 10.01.2022 02:00","22","16","16","n/e","n/e","n/e","14966","15194","15194"
"10.01.2022 02:00 - 10.01.2022 03:00","18","18","18","n/e","n/e","n/e","14662","15474","15474"
"10.01.2022 03:00 - 10.01.2022 04:00","19","16","16","n/e","n/e","n/e","14244","14726","14726"
"10.01.2022 04:00 - 10.01.2022 05:00","12","7","7","n/e","n/e","n/e","13875","14128","14128"
"10.01.2022 05:00 - 10.01.2022 06:00","3","1","1","n/e","n/e","n/e","13570","13508","13508"
"10.01.2022 06:00 - 10.01.2022 07:00","4","1","1","n/e","n/e","n/e","13256","13099","13099"
"10.01.2022 07:00 - 10.01.2022 08:00","9","2","2","n/e","n/e","n/e","12972","13147","13147"
"10.01.2022 08:00 - 10.01.2022 09:00","51","56","56","n/e","n/e","n/e","12653","12790","13020"
"10.01.2022 09:00 - 10.01.2022 10:00","1218","1072","1112","n/e","n/e","n/e","12237","12428","12809"
"10.01.2022 10:00 - 10.01.2022 11:00","3156","2840","2826","n/e","n/e","n/e","11850","11951","12825"
"10.01.2022 11:00 - 10.01.2022 12:00","4757","4394","4309","n/e","n/e","n/e","11500","11471","12845"
"10.01.2022 12:00 - 10.01.2022 13:00","5034","5199","5270","n/e","n/e","n/e","11322","11164","12546"
"10.01.2022 13:00 - 10.01.2022 14:00","5929","5751","5744","n/e","n/e","n/e","11282","11037","12018"
"10.01.2022 14:00 - 10.01.2022 15:00","6054","5850","6046","n/e","n/e","n/e","11287","10961","11997"
"10.01.2022 15:00 - 10.01.2022 16:00","5563","5558","5647","n/e","n/e","n/e","11173","10928","11884"
"10.01.2022 16:00 - 10.01.2022 17:00","4627","4536","4288","n/e","n/e","n/e","10949","10821","11721"
"10.01.2022 17:00 - 10.01.2022 18:00","2002","1916","1945","n/e","n/e","n/e","10889","10792","11650"
